"market","total_downloads"
"Portland / Auburn",6
"New York",2774
"Binghamton",33
"Macon",5
"Philadelphia",807
"Detroit",340
"Boston MA / Manchester",711
"Savannah",33
"Pittsburgh",219
"Ft. Wayne",13
"Cleveland / Akron (Canton)",120
"Washington DC (Hagerstown)",1931
"Baltimore",392
"Flint / Saginaw / Bay City",34
"Buffalo",79
"Cincinnati",139
"Charlotte",284
"Greensboro / High Point / Winston Salem",134
"Charleston",6
"Augusta",3
"Providence RI / New Bedford",54
"Columbus",15
"Burlington VT / Plattsburgh",65
"Atlanta",813
"Utica",13
"Indianapolis",128
"Miami / Ft. Lauderdale",521
"Louisville",174
"Tallahassee FL / Thomasville",11
"Tri-Cities TN",11
"Albany / Schenectady / Troy",152
"Hartford & New Haven",255
"Orlando / Daytona Beach / Melbourne",280
"Columbus",61
"Youngstown",451
"Bangor",32
"Rochester",54
"Tampa / St. Petersburg (Sarasota)",252
"Traverse City / Cadillac",8
"Lexington",7
"Dayton",103
"Springfield / Holyoke",11
"Norfolk / Portsmouth / Newport News",59
"Greenville / New Bern / Washington",5
"Columbia",43
"Toledo",22
"West Palm Beach / Ft. Pierce",212
"Wilmington",12
"Lansing",25
"Presque Isle",4
"Syracuse",64
"Richmond / Petersburg",116
"Knoxville",43
"Raleigh / Durham (Fayetteville)",217
"Jacksonville",254
"Grand Rapids / Kalamazoo / Battle Creek",72
"Charleston / Huntington",15
"Elmira",3
"Harrisburg / Lancaster / Lebanon / York",44
"Greenville / Spartanburg SC / Asheville NC / Anderson",64
"Harrisonburg",24
"Florence / Myrtle Beach",35
"Ft. Myers / Naples",64
"Roanoke / Lynchburg",61
"Johnstown / Altoona",131
"Chattanooga",8
"Salisbury",91
"Wilkes Barre / Scranton",5
"Terre Haute",4
"Lafayette",2
"Charlottesville",2
"South Bend / Elkhart",27
"Gainesville",6
"Zanesville",1
"Parkersburg",1
"Clarksburg / Weston",41
"Corpus Christi",32
"Chicago",1363
"Joplin MO / Pittsburg",2
"Columbia / Jefferson City",7
"Topeka",7
"St. Louis",143
"Rockford",59
"Rochester MN / Mason City IA / Austin",9
"Shreveport",33
"Minneapolis / St. Paul",383
"Kansas City",313
"Milwaukee",147
"Houston",468
"Springfield",34
"New Orleans",190
"Dallas / Ft. Worth",844
"Sioux City",14
"Waco / Temple / Bryan",1933
"Victoria",2
"Birmingham",82
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",88
"Odessa / Midland",25
"Amarillo",2
"Austin",1306
"Harlingen / Weslaco / Brownsville / McAllen",1
"Cedar Rapids / Waterloo / Iowa City & Dubuque",199
"St. Joseph",3
"Jackson",11
"Memphis",70
"San Antonio",181
"Lafayette",12
"Champaign & Springfield / Decatur",6
"Evansville",9
"Oklahoma City",165
"Lubbock",70
"Omaha",79
"Panama City",3
"Sherman TX / Ada",6
"Green Bay / Appleton",56
"Nashville",91
"San Angelo",80
"Abilene / Sweetwater",1
"Madison",265
"Ft. Smith / Fayetteville / Springdale / Rogers",22
"Tulsa",48
"Columbus / Tupelo / West Point",1
"Peoria / Bloomington",17
"Duluth MN / Superior",4
"Wichita / Hutchinson",55
"Des Moines / Ames",17
"Davenport IA / Rock Island / Moline",49
"Mobile AL / Pensacola (Ft. Walton Beach)",22
"Minot / Bismarck / Dickinson(Williston)",33
"Huntsville / Decatur (Florence)",24
"Beaumont / Port Arthur",4
"Little Rock / Pine Bluff",36
"Montgomery (Selma)",8
"La Crosse / Eau Claire",34
"Wausau / Rhinelander",8
"Tyler / Longview(Lufkin & Nacogdoches)",20
"Hattiesburg / Laurel",4
"Baton Rouge",13
"Jackson",20
"Lincoln & Hastings / Kearney",18
"Fargo / Valley City",4
"Sioux Falls(Mitchell)",145
"Bowling Green",43
"Mankato",2
"North Platte",2
"Anchorage",85
"Honolulu",109
"Fairbanks",1
"Biloxi / Gulfport",2
"Juneau",19
"Laredo",1
"Denver",965
"Colorado Springs / Pueblo",8
"Phoenix",562
"Butte / Bozeman",83
"Great Falls",2
"Billings",103
"Boise",26
"Idaho Falls / Pocatello",7
"Cheyenne WY / Scottsbluff",11
"Twin Falls",9
"Missoula",54
"El Paso",4
"Salt Lake City",241
"Grand Junction / Montrose",6
"Tucson (Sierra Vista)",24
"Albuquerque / Santa Fe",113
"Bakersfield",47
"Eugene",35
"Eureka",2
"Los Angeles",2735
"Palm Springs",23
"San Francisco / Oakland / San Jose",4121
"Yakima / Pasco / Richland / Kennewick",253
"Reno",22
"Medford / Klamath Falls",8
"Seattle / Tacoma",1134
"Portland",262
"Bend",62
"San Diego",339
"Monterey / Salinas",351
"Las Vegas",414
"Santa Barbara / Santa Maria / San Luis Obispo",49
"Sacramento / Stockton / Modesto",324
"Fresno / Visalia",16
"Chico / Redding",10
"Spokane",119
