"region","total_downloads"
", United States",4489
"Armed Forces Europe, Middle East, & Canada, United States",12
"Alaska, United States",121
"Alabama, United States",329
"Armed Forces Pacific, United States",3
"Arkansas, United States",179
"Arizona, United States",1117
"California, United States",17589
"Colorado, United States",2487
"Connecticut, United States",822
"District of Columbia, United States",1024
"Delaware, United States",1098
"Florida, United States",3450
"Georgia, United States",1964
"Hawaii, United States",294
"Iowa, United States",461
"Idaho, United States",144
"Illinois, United States",3470
"Indiana, United States",642
"Kansas, United States",779
"Kentucky, United States",461
"Louisiana, United States",392
"Massachusetts, United States",1438
"Maryland, United States",1728
"Maine, United States",93
"Michigan, United States",1173
"Minnesota, United States",818
"Missouri, United States",898
"Mississippi, United States",170
"Montana, United States",446
"North Carolina, United States",1446
"North Dakota, United States",38
"Nebraska, United States",192
"New Hampshire, United States",240
"New Jersey, United States",2690
"New Mexico, United States",221
"Nevada, United States",777
"New York, United States",4854
"Ohio, United States",1405
"Oklahoma, United States",453
"Oregon, United States",1581
"Pennsylvania, United States",2294
"Rhode Island, United States",160
"South Carolina, United States",456
"South Dakota, United States",205
"Tennessee, United States",678
"Texas, United States",8757
"Utah, United States",733
"Virginia, United States",6228
"Vermont, United States",91
"Washington, United States",3411
"Wisconsin, United States",1030
"West Virginia, United States",74
"Wyoming, United States",30
