"region","total_downloads"
", United States",8605
"Armed Forces Europe, Middle East, & Canada, United States",109
"Alaska, United States",450
"Alabama, United States",1827
"Armed Forces Pacific, United States",21
"Arkansas, United States",716
"Arizona, United States",3665
"California, United States",64519
"Colorado, United States",6966
"Connecticut, United States",3182
"District of Columbia, United States",2872
"Delaware, United States",1820
"Florida, United States",13636
"Georgia, United States",7010
"Hawaii, United States",1183
"Iowa, United States",1572
"Idaho, United States",811
"Illinois, United States",11392
"Indiana, United States",1996
"Kansas, United States",1486
"Kentucky, United States",1228
"Louisiana, United States",2030
"Massachusetts, United States",6479
"Maryland, United States",6982
"Maine, United States",429
"Michigan, United States",4183
"Minnesota, United States",3617
"Missouri, United States",2760
"Mississippi, United States",927
"Montana, United States",669
"North Carolina, United States",9189
"North Dakota, United States",169
"Nebraska, United States",974
"New Hampshire, United States",717
"New Jersey, United States",9557
"New Mexico, United States",687
"Nevada, United States",3380
"New York, United States",21731
"Ohio, United States",5096
"Oklahoma, United States",987
"Oregon, United States",4951
"Pennsylvania, United States",8058
"Rhode Island, United States",802
"South Carolina, United States",1458
"South Dakota, United States",271
"Tennessee, United States",3438
"Texas, United States",27057
"Utah, United States",3059
"Virginia, United States",17380
"Vermont, United States",503
"Washington, United States",10751
"Wisconsin, United States",3203
"West Virginia, United States",205
"Wyoming, United States",103
