"item_title","release_date","downloads__july","downloads__june","downloads__may","downloads__total"
"TBP140 - 5G vs 4G and the Future of Mobile Networks","2017-07-23 02:06:48",618,0,0,618
"Ether Review #69 — IOTA & the Post-Blockchain Era","2017-07-19 15:22:30",3428,0,0,3428
"NABP #6: John Crothers","2017-07-19 03:43:01",2084,0,0,2084
"BlockChannel Episode 25: Building Digital Communities, with District0x","2017-07-16 13:44:35",2374,0,0,2374
"TBP139 - Surviving the BIP 148 UASF","2017-07-16 04:53:09",4698,0,0,4698
"TBP138 - The 21st Century 49ers","2017-07-16 04:35:43",2813,0,0,2813
"NABP #5: Ryan X Charles","2017-07-13 23:03:09",3347,0,0,3347
"The Ether Review #68 — Numerai, The Last Hedge Fund","2017-07-12 15:23:39",2707,0,0,2707
"NABP #4: Benjamin Perrin","2017-07-11 22:22:59",3726,0,0,3726
"TBP137 - Countdown to SegWit","2017-07-09 13:52:24",6640,0,0,6640
"NABP #3: Adam Meister","2017-07-06 12:49:09",3602,0,0,3602
"Episode #11: On-Ramping with Dee","2017-07-04 15:12:19",2811,0,0,2811
"TBP136 - A New Type of Ownership","2017-07-02 00:11:34",4266,0,0,4266
"NABP #2: Crypto Maak","2017-07-01 02:49:34",3188,0,0,3188
"Ether Review Legal Discussion #2 The Legality of Raising Money Using Tokens","2017-06-27 20:13:45",1028,2846,0,3874
"TBP135 - Yanking Our Blockchain","2017-06-24 19:40:04",618,4374,0,4992
"Announcements with Dr. Petty: Impak Finance","2017-06-22 13:32:00",312,2664,0,2976
"BlockChannel Episode 24: Bringing Crypto to the World, with Prince EA","2017-06-21 20:45:56",393,2849,0,3242
"NABP #1: Sandra Malalah","2017-06-20 19:24:47",403,2217,0,2620
"BlockChannel Episode 23: Unmasking the Future, with Metamask","2017-06-20 00:36:36",352,3747,0,4099
"TBP134 - More Marketing Discipline","2017-06-17 19:37:08",483,3843,0,4326
"TBP133 - ICO Woes with MyEtherWallet","2017-06-16 14:22:11",357,4124,0,4481
"The Ether Review #67 — Celebrating Erik Voorhees Week with Erik Voorhees!","2017-06-13 16:08:35",203,3226,0,3429
"TBP132 - Dark Side of the Prism","2017-06-11 01:00:10",221,3907,0,4128
"TBP131 - Ending Corporate Dominance","2017-06-03 21:05:31",191,5302,0,5493
"Announcements with Dr. Petty: Patientory","2017-05-29 14:44:11",123,1272,1564,2959
"Episode #10: On-Ramping with Dee","2017-05-28 13:33:08",110,605,1251,1966
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",162,790,1803,2755
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",164,540,1541,2245
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",106,486,1574,2166
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",112,378,2705,3195
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",149,549,2659,3357
"TBP128 - Family","2017-05-14 02:41:39",84,267,2870,3221
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",58,214,3508,3780
"Episode #9: On-Ramping with Dee","2017-05-05 13:12:45",91,174,1993,2258
"TBP126 - Litecoin's SegWit Activation","2017-05-01 02:38:43",332,840,5994,7166
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",56,183,1313,3143
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",41,143,502,2437
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",52,100,320,1582
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",63,111,437,1928
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",84,152,505,2592
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",31,113,213,1728
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",44,71,213,1719
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",52,69,184,2189
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",26,65,137,1656
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",31,90,279,2711
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",33,115,239,2370
"TBP120 - The Token Protocol","2017-03-25 20:31:45",82,142,184,3258
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",55,170,189,2525
