"market","total_downloads"
"Portland / Auburn",458
"New York",36220
"Binghamton",124
"Macon",177
"Philadelphia",8815
"Detroit",3365
"Boston MA / Manchester",8352
"Savannah",418
"Pittsburgh",2331
"Ft. Wayne",52
"Cleveland / Akron (Canton)",1768
"Washington DC (Hagerstown)",24791
"Baltimore",3696
"Flint / Saginaw / Bay City",286
"Buffalo",785
"Cincinnati",1146
"Erie",8
"Charlotte",4059
"Greensboro / High Point / Winston Salem",894
"Charleston",141
"Augusta",96
"Providence RI / New Bedford",1208
"Columbus",112
"Burlington VT / Plattsburgh",860
"Atlanta",7122
"Albany",115
"Utica",165
"Indianapolis",1446
"Miami / Ft. Lauderdale",5780
"Louisville",972
"Tallahassee FL / Thomasville",147
"Tri-Cities TN",197
"Albany / Schenectady / Troy",837
"Hartford & New Haven",2920
"Orlando / Daytona Beach / Melbourne",3091
"Columbus",1862
"Youngstown",569
"Bangor",72
"Rochester",798
"Tampa / St. Petersburg (Sarasota)",3351
"Traverse City / Cadillac",218
"Lexington",267
"Dayton",366
"Springfield / Holyoke",417
"Norfolk / Portsmouth / Newport News",867
"Greenville / New Bern / Washington",88
"Columbia",404
"Toledo",704
"West Palm Beach / Ft. Pierce",1420
"Watertown",107
"Wilmington",404
"Lansing",298
"Presque Isle",4
"Marquette",44
"Wheeling WV / Steubenville",24
"Syracuse",364
"Richmond / Petersburg",829
"Knoxville",453
"Lima",4
"Bluefield / Beckley / Oak Hill",50
"Raleigh / Durham (Fayetteville)",5276
"Jacksonville",1246
"Grand Rapids / Kalamazoo / Battle Creek",785
"Charleston / Huntington",109
"Elmira",20
"Harrisburg / Lancaster / Lebanon / York",893
"Greenville / Spartanburg SC / Asheville NC / Anderson",1316
"Harrisonburg",60
"Florence / Myrtle Beach",190
"Ft. Myers / Naples",531
"Roanoke / Lynchburg",385
"Johnstown / Altoona",485
"Chattanooga",368
"Salisbury",1308
"Wilkes Barre / Scranton",396
"Terre Haute",22
"Lafayette",25
"Charlottesville",118
"South Bend / Elkhart",242
"Gainesville",182
"Zanesville",21
"Parkersburg",28
"Clarksburg / Weston",53
"Corpus Christi",56
"Chicago",11319
"Joplin MO / Pittsburg",48
"Columbia / Jefferson City",186
"Topeka",137
"Dothan",23
"St. Louis",2034
"Rockford",158
"Rochester MN / Mason City IA / Austin",172
"Shreveport",316
"Minneapolis / St. Paul",4360
"Kansas City",1849
"Milwaukee",1332
"Houston",5665
"Springfield",486
"New Orleans",1292
"Dallas / Ft. Worth",9728
"Sioux City",26
"Waco / Temple / Bryan",3502
"Victoria",2
"Wichita Falls TX & Lawton",10
"Monroe LA / El Dorado",67
"Birmingham",1047
"Ottumwa IA / Kirksville",4
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",294
"Odessa / Midland",254
"Amarillo",171
"Austin",7043
"Harlingen / Weslaco / Brownsville / McAllen",16
"Cedar Rapids / Waterloo / Iowa City & Dubuque",900
"St. Joseph",18
"Jackson",84
"Memphis",853
"San Antonio",959
"Lafayette",35
"Lake Charles",6
"Alexandria",22
"Champaign & Springfield / Decatur",243
"Evansville",37
"Oklahoma City",1059
"Lubbock",443
"Omaha",859
"Panama City",41
"Sherman TX / Ada",49
"Green Bay / Appleton",345
"Nashville",2300
"San Angelo",252
"Abilene / Sweetwater",26
"Madison",1810
"Ft. Smith / Fayetteville / Springdale / Rogers",380
"Tulsa",327
"Columbus / Tupelo / West Point",20
"Peoria / Bloomington",209
"Duluth MN / Superior",67
"Wichita / Hutchinson",536
"Des Moines / Ames",506
"Davenport IA / Rock Island / Moline",146
"Mobile AL / Pensacola (Ft. Walton Beach)",527
"Minot / Bismarck / Dickinson(Williston)",231
"Huntsville / Decatur (Florence)",376
"Beaumont / Port Arthur",36
"Little Rock / Pine Bluff",496
"Montgomery (Selma)",201
"La Crosse / Eau Claire",370
"Wausau / Rhinelander",46
"Tyler / Longview(Lufkin & Nacogdoches)",249
"Hattiesburg / Laurel",180
"Baton Rouge",550
"Quincy IL / Hannibal MO / Keokuk",3
"Jackson",309
"Lincoln & Hastings / Kearney",527
"Fargo / Valley City",171
"Sioux Falls(Mitchell)",306
"Jonesboro",17
"Bowling Green",70
"Mankato",16
"North Platte",4
"Anchorage",477
"Honolulu",1532
"Fairbanks",23
"Biloxi / Gulfport",477
"Juneau",118
"Laredo",16
"Denver",7673
"Colorado Springs / Pueblo",558
"Phoenix",4433
"Butte / Bozeman",251
"Great Falls",75
"Billings",246
"Boise",399
"Idaho Falls / Pocatello",198
"Cheyenne WY / Scottsbluff",81
"Twin Falls",54
"Missoula",157
"Rapid City",18
"El Paso",63
"Helena",3
"Casper / Riverton",6
"Salt Lake City",3623
"Yuma AZ / El Centro",6
"Grand Junction / Montrose",149
"Tucson (Sierra Vista)",330
"Albuquerque / Santa Fe",726
"Bakersfield",268
"Eugene",706
"Eureka",70
"Los Angeles",27137
"Palm Springs",247
"San Francisco / Oakland / San Jose",35765
"Yakima / Pasco / Richland / Kennewick",929
"Reno",316
"Medford / Klamath Falls",300
"Seattle / Tacoma",11112
"Portland",4361
"Bend",361
"San Diego",5251
"Monterey / Salinas",2029
"Las Vegas",3903
"Santa Barbara / Santa Maria / San Luis Obispo",1183
"Sacramento / Stockton / Modesto",3988
"Fresno / Visalia",226
"Chico / Redding",204
"Spokane",951
