"region","total_downloads"
", United States",2557
"Armed Forces Europe, Middle East, & Canada, United States",3
"Alaska, United States",105
"Alabama, United States",136
"Armed Forces Pacific, United States",1
"Arkansas, United States",66
"Arizona, United States",603
"California, United States",8297
"Colorado, United States",1008
"Connecticut, United States",352
"District of Columbia, United States",593
"Delaware, United States",145
"Florida, United States",1784
"Georgia, United States",888
"Hawaii, United States",109
"Iowa, United States",260
"Idaho, United States",61
"Illinois, United States",1567
"Indiana, United States",248
"Kansas, United States",204
"Kentucky, United States",254
"Louisiana, United States",248
"Massachusetts, United States",613
"Maryland, United States",840
"Maine, United States",42
"Michigan, United States",521
"Minnesota, United States",393
"Missouri, United States",390
"Mississippi, United States",43
"Montana, United States",233
"North Carolina, United States",653
"North Dakota, United States",37
"Nebraska, United States",93
"New Hampshire, United States",131
"New Jersey, United States",1119
"New Mexico, United States",146
"Nevada, United States",433
"New York, United States",2200
"Ohio, United States",880
"Oklahoma, United States",218
"Oregon, United States",614
"Pennsylvania, United States",966
"Rhode Island, United States",54
"South Carolina, United States",155
"South Dakota, United States",145
"Tennessee, United States",224
"Texas, United States",5302
"Utah, United States",250
"Virginia, United States",1146
"Vermont, United States",55
"Washington, United States",1368
"Wisconsin, United States",519
"West Virginia, United States",64
"Wyoming, United States",18
