"region","total_downloads"
", United States",8329
"Armed Forces Europe, Middle East, & Canada, United States",107
"Alaska, United States",377
"Alabama, United States",1621
"Armed Forces Pacific, United States",21
"Arkansas, United States",662
"Arizona, United States",3332
"California, United States",59737
"Colorado, United States",6472
"Connecticut, United States",2968
"District of Columbia, United States",2739
"Delaware, United States",1801
"Florida, United States",12955
"Georgia, United States",6617
"Hawaii, United States",1074
"Iowa, United States",1478
"Idaho, United States",745
"Illinois, United States",10604
"Indiana, United States",1865
"Kansas, United States",1396
"Kentucky, United States",1165
"Louisiana, United States",1809
"Massachusetts, United States",5646
"Maryland, United States",6479
"Maine, United States",417
"Michigan, United States",3717
"Minnesota, United States",3343
"Missouri, United States",2520
"Mississippi, United States",883
"Montana, United States",656
"North Carolina, United States",8687
"North Dakota, United States",159
"Nebraska, United States",928
"New Hampshire, United States",654
"New Jersey, United States",8959
"New Mexico, United States",647
"Nevada, United States",3182
"New York, United States",19755
"Ohio, United States",4624
"Oklahoma, United States",913
"Oregon, United States",4604
"Pennsylvania, United States",7603
"Rhode Island, United States",637
"South Carolina, United States",1362
"South Dakota, United States",268
"Tennessee, United States",3258
"Texas, United States",25058
"Utah, United States",2812
"Virginia, United States",16749
"Vermont, United States",474
"Washington, United States",10048
"Wisconsin, United States",2987
"West Virginia, United States",191
"Wyoming, United States",101
