"item_title","release_date","downloads__november","downloads__october","downloads__september","downloads__total"
"TBP101 - World's First Supernode Infrastructure","2016-11-27 00:00:57",266,0,0,266
"TBP100 - Thai Gone Wild","2016-11-19 17:18:43",1504,0,0,1504
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",1520,0,0,1520
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",841,0,0,841
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",861,0,0,861
"TBP97 - Hype or Hope","2016-11-06 00:57:36",1451,0,0,1451
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",377,518,0,895
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",650,603,0,1253
"TBP95 - The JOBS Act","2016-10-27 00:09:26",210,988,0,1198
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",199,1806,0,2005
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",394,2815,0,3209
"TBP92 - Myceliated","2016-10-09 04:31:18",81,1419,0,1500
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",42,1229,0,1271
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",260,420,721,1401
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",55,244,805,1104
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",30,144,940,1114
"TBP87 - The World is YOURS","2016-09-18 15:16:48",42,127,1331,1500
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",39,102,1014,1155
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",43,62,966,1071
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",25,45,1163,1233
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",41,144,1454,1643
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",47,76,317,1451
"TBP81 - Redefining Trust","2016-08-21 00:51:47",32,58,180,1393
"TBP80 - A Means to an End","2016-08-13 21:30:49",16,41,115,1266
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",57,75,121,2234
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",20,41,85,1587
"TBP77 - Collective Governance","2016-08-01 02:13:02",220,58,117,1914
"TBP76 - Skynet","2016-07-31 13:56:37",236,56,98,1974
"TBP75 - Attention Economy","2016-07-23 14:57:17",20,35,69,1615
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",16,26,67,1141
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",17,20,32,1421
"TBP72 - The Broader Economy","2016-07-11 13:33:58",20,51,79,3172
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",40,47,65,1611
"TBP70 - Whitehat","2016-07-03 16:51:42",9,14,47,1375
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",26,13,46,1072
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",18,18,29,1914
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",9,10,30,1419
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",11,16,24,1215
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",10,27,26,1203
