"item_title","release_date","downloads__december","downloads__november","downloads__october","downloads__total"
"TBP170 - A New Kind of Legal","2017-12-03 14:58:36",622,0,0,622
"An Ethereum Podcast: Episode #6","2017-11-30 14:08:10",2352,2036,0,4388
"TBP Announcements: Crowd Machine","2017-11-30 13:23:53",1031,1609,0,2640
"TBP169 - Monetary Revolution","2017-11-27 02:56:13",662,3724,0,4386
"TBP Announcements: Coinfirm","2017-11-27 02:51:51",216,3601,0,3817
"TBP168 - Passion, Pain & Unicorn Slayin'","2017-11-26 05:35:45",265,4798,0,5063
"BlockChannel Episode 34: Developers Developers Developers, with Zastrin.com","2017-11-23 19:10:49",122,3884,0,4006
"TBP Announcements: Simple Token","2017-11-19 22:12:40",82,3912,0,3994
"TBP167 - The Broader Economy III","2017-11-19 13:52:29",167,5977,0,6144
"TBP Announcements: Quantstamp","2017-11-16 16:00:09",64,3792,0,3856
"TBP Announcements: Globitex","2017-11-15 03:54:35",63,3854,0,3917
"TBP166 - ATMs and ICOs","2017-11-12 23:08:43",77,5468,0,5545
"Devcon3: Recap Part 2","2017-11-05 14:54:24",43,5612,0,5655
"TBP165 - Praise for Cryptoassets","2017-11-05 11:46:28",69,4140,0,4209
"Devcon3: Recap Part 1","2017-11-03 01:13:35",46,4791,0,4837
"TBP164 - The Benefits of Familiarity","2017-10-30 19:55:02",35,2775,1762,4572
"TBP163 - Savings and Savior","2017-10-29 03:38:25",30,1224,2805,4059
"Buy or Sell, What the Hell #4","2017-10-27 20:26:45",39,1510,3238,4787
"BlockChannel Episode 33: Incentivizing Creators Online, with Props","2017-10-27 02:12:10",29,800,2749,3578
"TBP162 - Sweet Talk","2017-10-26 14:29:23",32,1016,3297,4345
"BTCPODcast.mp3","2017-10-25 14:03:59",0,45,103,148
"TBP161 - A Foundation for the Data Economy","2017-10-22 05:30:59",23,683,4024,4730
"TBP Announcements: STACK","2017-10-22 01:12:19",22,570,3093,3685
"An Ethereum Podcast: Episode #5","2017-10-20 16:25:55",28,738,3402,4168
"TBP Announcements: Simply Vital Health","2017-10-17 00:24:23",21,486,3324,3831
"BlockChannel Episode 32: Greasing the Blockchain, with Spankchain","2017-10-16 19:47:54",21,465,3548,4034
"TBP160 - Bitcoin Beats","2017-10-15 18:38:50",21,488,3627,4136
"BlockChannel Episode 31: Settling the Score, with CoinScore","2017-10-14 00:35:30",18,458,3395,3871
"TBP159 - Diary of a Made Man","2017-10-08 20:11:57",20,481,4629,5130
"TBP Announcements: DOVU","2017-10-06 21:48:28",15,361,3332,3708
"TBP158 - The Credit Protocol","2017-10-05 02:54:09",18,347,3462,3827
"The Ether Review #73 — Kik, Establishing a Micro-economy","2017-10-05 00:22:37",18,336,2927,3281
"An Ethereum Podcast: Episode #4","2017-10-04 04:03:08",26,434,4337,4797
"Episode #17: On-Ramping with Dee","2017-10-03 11:46:40",11,306,3333,3650
"Buy or Sell, What the Hell #3","2017-10-02 02:38:55",18,349,3797,4164
"TBP157 - Modern Day Gold Rush Pt. II","2017-10-01 15:19:21",15,347,3831,4193
"TBP156 - Combined Forces for Better Results","2017-09-28 02:57:13",11,317,1175,4340
"BlockChannel Episode 30: To Bee or Not to Bee","2017-09-27 19:30:17",8,268,781,3492
"An Ethereum Podcast: Episode #3","2017-09-27 02:52:33",15,331,864,4050
"Episode #16: On-Ramping with Dee","2017-09-25 11:56:04",9,260,578,3758
"TBP155 - Crypto Swan Song","2017-09-24 15:53:13",7,279,571,4074
"TBP154 - Bitcoin For The Bottom Billion Pt. 2","2017-09-22 11:23:52",14,288,542,4141
"An Ethereum Podcast: Episode #2","2017-09-19 14:56:24",19,298,510,4736
"Episode #15: On-Ramping with Dee","2017-09-18 15:42:45",7,230,384,3354
"TBP153 - Bitcoin Sell Out","2017-09-17 14:42:43",10,251,391,5347
"Ether Review Legal #6 — Playing in a Sandbox","2017-09-15 13:54:22",7,247,346,4333
"Episode #14: On-Ramping with Dee","2017-09-12 02:36:23",8,223,315,4802
"TBP152 - Pally on the Block","2017-09-10 14:02:18",7,217,289,5350
"An Ethereum Podcast: Episode #1","2017-09-08 05:00:42",35,353,477,5873
"TBP151 - Crypto Boom Boom Room","2017-09-07 13:29:27",11,223,286,4630
"Buy or Sell, What the Hell #2","2017-09-04 18:28:30",12,241,304,4952
"NABP #11: Ozzy The BS Filter","2017-09-04 15:43:20",6,227,262,4933
"TBP150 - EGO with ETH","2017-09-04 02:16:51",5,216,235,5035
"BlockChannel Episode 29: Making Sense of Cent.co","2017-09-01 14:01:40",6,189,208,4714
"NABP #10: Benjamin Semchee","2017-09-01 13:28:48",3,201,204,3690
"Ether Review Legal #5 — BernsWeiss Stops the IRS in its Tracks","2017-08-28 00:45:33",5,201,168,4327
"Episode #13: On-Ramping with Dee","2017-08-28 00:27:03",7,200,214,4873
"TBP149 - The Rivetz Security Project","2017-08-27 01:07:34",5,188,202,5148
"NABP #9: JP Richardson","2017-08-22 15:49:09",2,184,152,4842
"Buy or Sell, What the Hell #1","2017-08-22 12:59:58",12,268,182,5678
"TBP148 - Controversial Persona","2017-08-20 17:08:54",3,183,166,5586
"BlockChannel Episode 28: Securing the Metaverse, with Decentraland","2017-08-17 15:14:51",6,178,132,4475
"BlockChannel Episode 27: Po.et and We Didn't Even Know It","2017-08-17 15:02:37",3,161,110,4379
"TBP147 - History of Security","2017-08-16 21:33:46",8,199,155,4703
"Ether Review #71 — David Bailey on Po.et & the MtGox/BTC-e Connection","2017-08-16 00:15:48",5,177,130,4140
"TBP146 - The Rise and Rise of Charlie Shrem","2017-08-13 03:37:50",5,183,149,8002
"TBP145 - Hopes and Fears for Filecoin","2017-08-09 02:30:34",6,187,141,6527
"NABP #8: Vortex","2017-08-07 21:45:42",5,150,119,4313
"Episode #12: On-Ramping with Dee","2017-08-06 14:26:49",5,153,117,4047
"TBP144 - Tomorrow's Electricity Today","2017-08-06 13:54:37",7,153,141,4472
"Ether Review Legal #4 — MME, the Beating Heart of Crypto Valley","2017-08-04 15:58:25",4,158,113,3772
"TBP143 - Damned If You Do, Bored If You Don't","2017-08-04 04:37:32",8,150,114,5371
"NABP #7: Marcello","2017-08-01 02:15:49",10,157,106,4814
"TBP142 - The Need For More Information","2017-07-29 19:29:38",8,145,110,4673
"TBP141 - The CMO Primer For the Blockchain World","2017-07-27 23:37:26",14,134,106,4297
"BlockChannel Episode 26: Off the Grid, with Grid+","2017-07-25 16:04:02",8,120,95,3835
"Ether Review Legal #3 — The Simple Agreement for Future Tokens","2017-07-25 15:45:03",15,160,93,3759
"TBP140 - 5G vs 4G and the Future of Mobile Networks","2017-07-23 02:06:48",12,140,113,4906
"Ether Review #69 — IOTA & the Post-Blockchain Era","2017-07-19 15:22:30",28,224,158,5655
"NABP #6: John Crothers","2017-07-19 03:43:01",12,127,93,3361
"BlockChannel Episode 25: Building Digital Communities, with District0x","2017-07-16 13:44:35",7,127,91,3409
"TBP139 - Surviving the BIP 148 UASF","2017-07-16 04:53:09",7,128,81,5913
"TBP138 - The 21st Century 49ers","2017-07-16 04:35:43",9,124,100,4072
"NABP #5: Ryan X Charles","2017-07-13 23:03:09",8,113,82,4277
"The Ether Review #68 — Numerai, The Last Hedge Fund","2017-07-12 15:23:39",11,117,83,3508
"NABP #4: Benjamin Perrin","2017-07-11 22:22:59",8,117,98,4640
"TBP137 - Countdown to SegWit","2017-07-09 13:52:24",3,112,91,7495
"NABP #3: Adam Meister","2017-07-06 12:49:09",8,121,91,4275
"Episode #11: On-Ramping with Dee","2017-07-04 15:12:19",9,103,77,3369
"TBP136 - A New Type of Ownership","2017-07-02 00:11:34",11,113,68,4881
"NABP #2: Crypto Maak","2017-07-01 02:49:34",8,108,95,3901
"Ether Review Legal Discussion #2 The Legality of Raising Money Using Tokens","2017-06-27 20:13:45",11,105,71,4460
"TBP135 - Yanking Our Blockchain","2017-06-24 19:40:04",12,110,78,5603
"Announcements with Dr. Petty: Impak Finance","2017-06-22 13:32:00",4,107,74,3447
"BlockChannel Episode 24: Bringing Crypto to the World, with Prince EA","2017-06-21 20:45:56",13,109,67,3719
"NABP #1: Sandra Malalah","2017-06-20 19:24:47",11,107,65,3080
"BlockChannel Episode 23: Unmasking the Future, with Metamask","2017-06-20 00:36:36",9,100,65,4575
"TBP134 - More Marketing Discipline","2017-06-17 19:37:08",12,96,71,4733
"TBP133 - ICO Woes with MyEtherWallet","2017-06-16 14:22:11",11,136,78,5033
"The Ether Review #67 — Celebrating Erik Voorhees Week with Erik Voorhees!","2017-06-13 16:08:35",6,134,72,3883
"TBP132 - Dark Side of the Prism","2017-06-11 01:00:10",14,134,78,4657
"TBP131 - Ending Corporate Dominance","2017-06-03 21:05:31",17,144,78,5954
"Announcements with Dr. Petty: Patientory","2017-05-29 14:44:11",3,88,56,3271
"Episode #10: On-Ramping with Dee","2017-05-28 13:33:08",2,101,52,2302
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",2,91,57,3075
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",0,90,62,2581
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",0,80,56,2487
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",4,90,57,3528
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",2,90,63,3702
"TBP128 - Family","2017-05-14 02:41:39",1,83,51,3520
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",2,58,58,4061
"Episode #9: On-Ramping with Dee","2017-05-05 13:12:45",4,47,69,2672
"TBP126 - Litecoin's SegWit Activation","2017-05-01 02:38:43",2,118,80,7773
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",2,26,44,3432
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",0,29,49,2675
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",0,23,48,1782
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",2,15,63,2169
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",2,17,76,2966
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",2,22,45,1930
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",2,18,45,1907
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",2,19,53,2384
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",6,22,53,1854
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",2,9,42,2875
