"region","total_downloads"
", United States",7947
"Armed Forces Europe, Middle East, & Canada, United States",104
"Alaska, United States",328
"Alabama, United States",1510
"Armed Forces Pacific, United States",21
"Arkansas, United States",618
"Arizona, United States",3061
"California, United States",54138
"Colorado, United States",5916
"Connecticut, United States",2724
"District of Columbia, United States",2493
"Delaware, United States",1745
"Florida, United States",11752
"Georgia, United States",5992
"Hawaii, United States",941
"Iowa, United States",1376
"Idaho, United States",670
"Illinois, United States",9514
"Indiana, United States",1721
"Kansas, United States",1306
"Kentucky, United States",1090
"Louisiana, United States",1661
"Massachusetts, United States",4768
"Maryland, United States",5714
"Maine, United States",401
"Michigan, United States",3437
"Minnesota, United States",3010
"Missouri, United States",2340
"Mississippi, United States",831
"Montana, United States",628
"North Carolina, United States",7852
"North Dakota, United States",148
"Nebraska, United States",841
"New Hampshire, United States",603
"New Jersey, United States",8162
"New Mexico, United States",602
"Nevada, United States",2722
"New York, United States",17843
"Ohio, United States",4040
"Oklahoma, United States",825
"Oregon, United States",4244
"Pennsylvania, United States",6908
"Rhode Island, United States",557
"South Carolina, United States",1262
"South Dakota, United States",266
"Tennessee, United States",2967
"Texas, United States",23001
"Utah, United States",2516
"Virginia, United States",15781
"Vermont, United States",448
"Washington, United States",9195
"Wisconsin, United States",2756
"West Virginia, United States",180
"Wyoming, United States",84
