"region","total_downloads"
", United States",7753
"Armed Forces Europe, Middle East, & Canada, United States",102
"Alaska, United States",308
"Alabama, United States",1441
"Armed Forces Pacific, United States",19
"Arkansas, United States",577
"Arizona, United States",2812
"California, United States",51377
"Colorado, United States",5692
"Connecticut, United States",2575
"District of Columbia, United States",2342
"Delaware, United States",1716
"Florida, United States",11083
"Georgia, United States",5675
"Hawaii, United States",886
"Iowa, United States",1327
"Idaho, United States",616
"Illinois, United States",9027
"Indiana, United States",1624
"Kansas, United States",1174
"Kentucky, United States",1055
"Louisiana, United States",1592
"Massachusetts, United States",4464
"Maryland, United States",5408
"Maine, United States",394
"Michigan, United States",3280
"Minnesota, United States",2867
"Missouri, United States",2160
"Mississippi, United States",814
"Montana, United States",618
"North Carolina, United States",7302
"North Dakota, United States",141
"Nebraska, United States",815
"New Hampshire, United States",585
"New Jersey, United States",7647
"New Mexico, United States",571
"Nevada, United States",2547
"New York, United States",16808
"Ohio, United States",3776
"Oklahoma, United States",801
"Oregon, United States",4061
"Pennsylvania, United States",6540
"Rhode Island, United States",513
"South Carolina, United States",1215
"South Dakota, United States",265
"Tennessee, United States",2814
"Texas, United States",22084
"Utah, United States",2386
"Virginia, United States",15040
"Vermont, United States",306
"Washington, United States",8751
"Wisconsin, United States",2589
"West Virginia, United States",167
"Wyoming, United States",71
