"region","total_downloads"
", United States",3427
"Armed Forces Europe, Middle East, & Canada, United States",8
"Alaska, United States",120
"Alabama, United States",188
"Armed Forces Pacific, United States",2
"Arkansas, United States",101
"Arizona, United States",779
"California, United States",11998
"Colorado, United States",1489
"Connecticut, United States",547
"District of Columbia, United States",708
"Delaware, United States",285
"Florida, United States",2263
"Georgia, United States",1198
"Hawaii, United States",196
"Iowa, United States",311
"Idaho, United States",84
"Illinois, United States",2138
"Indiana, United States",433
"Kansas, United States",736
"Kentucky, United States",358
"Louisiana, United States",302
"Massachusetts, United States",897
"Maryland, United States",1183
"Maine, United States",82
"Michigan, United States",823
"Minnesota, United States",573
"Missouri, United States",642
"Mississippi, United States",77
"Montana, United States",372
"North Carolina, United States",951
"North Dakota, United States",38
"Nebraska, United States",134
"New Hampshire, United States",166
"New Jersey, United States",1750
"New Mexico, United States",191
"Nevada, United States",574
"New York, United States",3151
"Ohio, United States",1081
"Oklahoma, United States",299
"Oregon, United States",1054
"Pennsylvania, United States",1440
"Rhode Island, United States",91
"South Carolina, United States",230
"South Dakota, United States",169
"Tennessee, United States",364
"Texas, United States",6666
"Utah, United States",380
"Virginia, United States",2063
"Vermont, United States",72
"Washington, United States",2181
"Wisconsin, United States",635
"West Virginia, United States",72
"Wyoming, United States",23
