"item_title","release_date","downloads__july","downloads__june","downloads__may","downloads__total"
"Episode #11: On-Ramping with Dee","2017-07-04 15:12:19",480,0,0,480
"TBP136 - A New Type of Ownership","2017-07-02 00:11:34",2746,0,0,2746
"NABP #2: Crypto Maak","2017-07-01 02:49:34",2304,0,0,2304
"Ether Review Legal Discussion #2 The Legality of Raising Money Using Tokens","2017-06-27 20:13:45",443,2846,0,3289
"TBP135 - Yanking Our Blockchain","2017-06-24 19:40:04",192,4374,0,4566
"Announcements with Dr. Petty: Impak Finance","2017-06-22 13:32:00",83,2664,0,2747
"BlockChannel Episode 24: Bringing Crypto to the World, with Prince EA","2017-06-21 20:45:56",105,2849,0,2954
"NABP #1: Sandra Malalah","2017-06-20 19:24:47",117,2217,0,2334
"BlockChannel Episode 23: Unmasking the Future, with Metamask","2017-06-20 00:36:36",89,3747,0,3836
"TBP134 - More Marketing Discipline","2017-06-17 19:37:08",119,3843,0,3962
"TBP133 - ICO Woes with MyEtherWallet","2017-06-16 14:22:11",103,4124,0,4227
"The Ether Review #67 — Celebrating Erik Voorhees Week with Erik Voorhees!","2017-06-13 16:08:35",48,3226,0,3274
"TBP132 - Dark Side of the Prism","2017-06-11 01:00:10",48,3907,0,3955
"TBP131 - Ending Corporate Dominance","2017-06-03 21:05:31",29,5302,0,5331
"Announcements with Dr. Petty: Patientory","2017-05-29 14:44:11",20,1272,1564,2856
"Episode #10: On-Ramping with Dee","2017-05-28 13:33:08",17,605,1251,1873
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",27,790,1803,2620
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",30,540,1541,2111
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",27,486,1574,2087
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",25,378,2705,3108
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",24,549,2659,3232
"TBP128 - Family","2017-05-14 02:41:39",17,267,2870,3154
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",14,214,3508,3736
"Episode #9: On-Ramping with Dee","2017-05-05 13:12:45",35,174,1993,2202
"TBP126 - Litecoin's SegWit Activation","2017-05-01 02:38:43",31,840,5994,6865
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",28,183,1313,3115
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",8,143,502,2404
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",14,100,320,1544
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",18,111,437,1883
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",27,152,505,2535
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",12,113,213,1709
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",10,71,213,1685
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",10,69,184,2147
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",10,65,137,1640
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",6,90,279,2686
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",9,115,239,2346
"TBP120 - The Token Protocol","2017-03-25 20:31:45",43,142,184,3219
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",16,170,189,2486
"TBP119 - Shorting the Bull Rally II","2017-03-20 00:28:59",10,93,119,1988
"BlockChannel Episode 14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir","2017-03-18 19:23:52",16,102,169,1909
"TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto","2017-03-12 00:58:57",22,146,228,2773
"Episode #7: On-Ramping with Dee","2017-03-10 15:53:59",6,54,83,1473
"BlockChannel Episode 13: Decentralized Web Browsing, with Blockstack","2017-03-07 02:41:19",7,82,77,1812
"TBP117 - Venturing Into the Web3","2017-03-05 03:04:22",5,58,104,2078
"TBP116 - Building the Iron Man Suit","2017-02-26 17:50:26",6,61,63,2349
"BlockChannel Episode 12: In Ethereum, WeTrust","2017-02-22 00:20:08",14,129,114,2367
"Episode #6: On-Ramping with Dee","2017-02-20 17:00:38",6,39,68,1636
"BlockChannel Episode 11: Bridging Ethereum and Media with Jaak.io","2017-02-20 01:45:27",5,41,46,1256
"TBP115 - This Week in Ethereum","2017-02-18 20:58:23",11,70,86,1959
"BlockChannel Episode 10: A Bitcoin Venture Outside the Great Wall","2017-02-17 15:25:32",5,40,38,1338
"TBP114 - Life After Trezor","2017-02-12 06:32:10",14,85,76,2543
"BlockChannel Episode 9: Getting Gamers on Ethereum with FirstBlood","2017-02-08 03:17:23",9,54,37,1572
"TBP113 - Innovators' Lab","2017-02-05 06:01:34",4,43,36,2046
"Episode #5: On-Ramping with Dee","2017-02-03 22:54:38",22,72,92,1990
"BlockChannel Episode 8: Hit or Stay, a Bet on 21.co","2017-02-02 16:14:25",22,45,102,1676
"BlockChannel Episode 7: Meet Your Maker, Ethereum","2017-02-02 03:17:22",8,48,55,1539
"TBP112 - The Broader Economy II","2017-01-28 22:29:43",7,108,82,3168
"BlockChannel Episode 6: Gnosis, and the Power of the Crowd","2017-01-26 13:57:43",9,49,32,1462
"Episode #4: On-Ramping with Dee","2017-01-25 15:07:23",22,58,91,1914
"TBP111 - Disrupting Global Commerce","2017-01-22 20:04:14",5,64,43,2102
"TBP110 - The Technological Revolution","2017-01-15 04:15:37",5,46,36,2320
"BlockChannel Episode 5: Taking One for the Team","2017-01-11 22:36:32",6,40,23,1385
"TBP109 - The Human Influence","2017-01-08 03:14:21",5,27,28,1881
"Episode #3: On-Ramping with Dee","2017-01-07 19:15:13",6,46,41,1246
"TBP108 - Ether Camp","2017-01-04 15:48:27",5,40,30,1402
"On-Ramping with Dee: Episode #2","2017-01-03 00:30:17",31,58,81,1668
