"market","total_downloads"
"Portland / Auburn",20
"New York",4825
"Binghamton",61
"Macon",21
"Philadelphia",1494
"Detroit",602
"Boston MA / Manchester",1113
"Savannah",54
"Pittsburgh",349
"Ft. Wayne",24
"Cleveland / Akron (Canton)",249
"Washington DC (Hagerstown)",5472
"Baltimore",557
"Flint / Saginaw / Bay City",36
"Buffalo",114
"Cincinnati",163
"Charlotte",397
"Greensboro / High Point / Winston Salem",217
"Charleston",15
"Augusta",3
"Providence RI / New Bedford",99
"Columbus",20
"Burlington VT / Plattsburgh",106
"Atlanta",1270
"Albany",7
"Utica",15
"Indianapolis",236
"Miami / Ft. Lauderdale",844
"Louisville",228
"Tallahassee FL / Thomasville",12
"Tri-Cities TN",13
"Albany / Schenectady / Troy",180
"Hartford & New Haven",469
"Orlando / Daytona Beach / Melbourne",378
"Columbus",100
"Youngstown",451
"Bangor",59
"Rochester",86
"Tampa / St. Petersburg (Sarasota)",351
"Traverse City / Cadillac",8
"Lexington",76
"Dayton",130
"Springfield / Holyoke",33
"Norfolk / Portsmouth / Newport News",108
"Greenville / New Bern / Washington",7
"Columbia",46
"Toledo",57
"West Palm Beach / Ft. Pierce",289
"Wilmington",25
"Lansing",69
"Presque Isle",4
"Marquette",36
"Syracuse",93
"Richmond / Petersburg",177
"Knoxville",63
"Raleigh / Durham (Fayetteville)",454
"Jacksonville",308
"Grand Rapids / Kalamazoo / Battle Creek",85
"Charleston / Huntington",22
"Elmira",5
"Harrisburg / Lancaster / Lebanon / York",70
"Greenville / Spartanburg SC / Asheville NC / Anderson",134
"Harrisonburg",24
"Florence / Myrtle Beach",61
"Ft. Myers / Naples",106
"Roanoke / Lynchburg",78
"Johnstown / Altoona",257
"Chattanooga",18
"Salisbury",252
"Wilkes Barre / Scranton",46
"Terre Haute",4
"Lafayette",2
"Charlottesville",3
"South Bend / Elkhart",57
"Gainesville",8
"Zanesville",1
"Parkersburg",1
"Clarksburg / Weston",45
"Corpus Christi",37
"Chicago",2087
"Joplin MO / Pittsburg",2
"Columbia / Jefferson City",11
"Topeka",32
"St. Louis",208
"Rockford",68
"Rochester MN / Mason City IA / Austin",9
"Shreveport",36
"Minneapolis / St. Paul",628
"Kansas City",966
"Milwaukee",217
"Houston",778
"Springfield",52
"New Orleans",245
"Dallas / Ft. Worth",1377
"Sioux City",14
"Waco / Temple / Bryan",2248
"Victoria",2
"Wichita Falls TX & Lawton",2
"Birmingham",130
"Ottumwa IA / Kirksville",1
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",93
"Odessa / Midland",30
"Amarillo",5
"Austin",1604
"Harlingen / Weslaco / Brownsville / McAllen",4
"Cedar Rapids / Waterloo / Iowa City & Dubuque",247
"St. Joseph",9
"Jackson",14
"Memphis",135
"San Antonio",297
"Lafayette",14
"Alexandria",2
"Champaign & Springfield / Decatur",11
"Evansville",9
"Oklahoma City",259
"Lubbock",110
"Omaha",105
"Panama City",4
"Sherman TX / Ada",6
"Green Bay / Appleton",60
"Nashville",193
"San Angelo",103
"Abilene / Sweetwater",18
"Madison",377
"Ft. Smith / Fayetteville / Springdale / Rogers",24
"Tulsa",60
"Columbus / Tupelo / West Point",1
"Peoria / Bloomington",80
"Duluth MN / Superior",10
"Wichita / Hutchinson",76
"Des Moines / Ames",39
"Davenport IA / Rock Island / Moline",55
"Mobile AL / Pensacola (Ft. Walton Beach)",29
"Minot / Bismarck / Dickinson(Williston)",35
"Huntsville / Decatur (Florence)",41
"Beaumont / Port Arthur",4
"Little Rock / Pine Bluff",81
"Montgomery (Selma)",8
"La Crosse / Eau Claire",37
"Wausau / Rhinelander",10
"Tyler / Longview(Lufkin & Nacogdoches)",25
"Hattiesburg / Laurel",4
"Baton Rouge",22
"Quincy IL / Hannibal MO / Keokuk",1
"Jackson",50
"Lincoln & Hastings / Kearney",48
"Fargo / Valley City",6
"Sioux Falls(Mitchell)",171
"Bowling Green",44
"Mankato",3
"North Platte",2
"Anchorage",87
"Honolulu",206
"Fairbanks",1
"Biloxi / Gulfport",9
"Juneau",32
"Laredo",8
"Denver",1710
"Colorado Springs / Pueblo",21
"Phoenix",844
"Butte / Bozeman",93
"Great Falls",14
"Billings",198
"Boise",30
"Idaho Falls / Pocatello",7
"Cheyenne WY / Scottsbluff",12
"Twin Falls",10
"Missoula",90
"Rapid City",3
"El Paso",16
"Helena",1
"Salt Lake City",427
"Grand Junction / Montrose",6
"Tucson (Sierra Vista)",27
"Albuquerque / Santa Fe",153
"Bakersfield",73
"Eugene",104
"Eureka",3
"Los Angeles",4360
"Palm Springs",23
"San Francisco / Oakland / San Jose",6736
"Yakima / Pasco / Richland / Kennewick",359
"Reno",30
"Medford / Klamath Falls",11
"Seattle / Tacoma",2099
"Portland",576
"Bend",182
"San Diego",530
"Monterey / Salinas",495
"Las Vegas",588
"Santa Barbara / Santa Maria / San Luis Obispo",56
"Sacramento / Stockton / Modesto",675
"Fresno / Visalia",20
"Chico / Redding",14
"Spokane",142
