"region","total_downloads"
", United States",4719
"Armed Forces Europe, Middle East, & Canada, United States",12
"Alaska, United States",121
"Alabama, United States",396
"Armed Forces Pacific, United States",3
"Arkansas, United States",183
"Arizona, United States",1175
"California, United States",18797
"Colorado, United States",2650
"Connecticut, United States",878
"District of Columbia, United States",1074
"Delaware, United States",1102
"Florida, United States",3700
"Georgia, United States",2110
"Hawaii, United States",324
"Iowa, United States",484
"Idaho, United States",183
"Illinois, United States",3675
"Indiana, United States",706
"Kansas, United States",795
"Kentucky, United States",493
"Louisiana, United States",399
"Massachusetts, United States",1570
"Maryland, United States",1845
"Maine, United States",95
"Michigan, United States",1282
"Minnesota, United States",872
"Missouri, United States",981
"Mississippi, United States",192
"Montana, United States",452
"North Carolina, United States",1576
"North Dakota, United States",38
"Nebraska, United States",225
"New Hampshire, United States",240
"New Jersey, United States",2953
"New Mexico, United States",225
"Nevada, United States",906
"New York, United States",5205
"Ohio, United States",1519
"Oklahoma, United States",497
"Oregon, United States",1705
"Pennsylvania, United States",2601
"Rhode Island, United States",183
"South Carolina, United States",503
"South Dakota, United States",212
"Tennessee, United States",770
"Texas, United States",9221
"Utah, United States",810
"Virginia, United States",6420
"Vermont, United States",91
"Washington, United States",3685
"Wisconsin, United States",1063
"West Virginia, United States",74
"Wyoming, United States",32
