"item_title","release_date","downloads__august","downloads__july","downloads__june","downloads__total"
"TBP80 - A Means to an End","2016-08-13 21:30:49",1,0,0,1
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",488,0,0,488
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",1245,0,0,1245
"TBP77 - Collective Governance","2016-08-01 02:13:02",1399,0,0,1399
"TBP76 - Skynet","2016-07-31 13:56:37",1095,392,0,1487
"TBP75 - Attention Economy","2016-07-23 14:57:17",212,1206,0,1418
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",70,921,0,991
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",67,1262,0,1329
"TBP72 - The Broader Economy","2016-07-11 13:33:58",224,2729,0,2953
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",43,1388,0,1431
"TBP70 - Whitehat","2016-07-03 16:51:42",32,1257,0,1289
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",33,613,323,969
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",49,338,1437,1824
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",17,180,1165,1362
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",13,99,1043,1155
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",14,77,1038,1129
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",11,78,1074,1163
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",9,47,1005,1061
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",12,43,518,1063
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",9,41,165,799
"TBP60 - Release the Kraken","2016-05-23 03:32:09",16,79,262,1870
"TBP59 - Incredible India","2016-05-16 15:40:00",19,43,90,907
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",22,52,82,1573
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",15,53,94,1897
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",15,79,61,769
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",60,50,51,1011
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",7,31,30,630
"TBP53 - Tough Math","2016-04-17 16:24:01",19,63,38,1138
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",11,35,32,615
"TBP51 - Such Wow","2016-04-10 17:09:46",14,51,29,609
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",11,62,31,778
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",9,49,37,801
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",8,29,28,646
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",22,40,33,557
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",20,61,25,820
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",9,52,29,652
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",6,40,34,591
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",11,32,22,633
"TBP42 - True Micropayments","2016-02-21 23:13:15",8,42,23,776
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",9,44,29,585
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",9,42,32,1211
"TBP39 - Running the Gamut","2016-02-07 20:14:46",6,36,22,847
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",5,23,16,592
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",4,32,20,576
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",6,22,10,530
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",7,20,18,1013
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",4,22,17,772
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",7,18,24,656
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",4,19,23,716
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",10,18,16,471
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",10,14,11,472
"TBP29 - Take the Power Back","2015-12-06 16:35:49",8,20,18,582
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",8,18,14,557
"TBP27 - London Calling","2015-11-22 16:30:21",5,19,10,551
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",6,19,12,507
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",7,11,8,430
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",10,21,17,618
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",11,21,11,381
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",9,17,15,317
"TBP21 - Call For Papers","2015-10-10 13:06:37",6,18,17,357
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",16,22,14,374
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",7,20,16,408
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",9,17,12,383
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",6,15,12,484
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",7,20,13,414
"TBP15 - Ants Marching","2015-08-30 19:31:14",9,21,12,381
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",10,27,12,533
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",8,19,13,434
"TBP12 - Boring Economics","2015-08-08 00:53:49",6,32,18,606
"TBP11 - The End of Money","2015-08-03 04:12:02",5,24,10,534
"TBP10 - Bottoms Up","2015-07-24 13:32:59",10,13,14,440
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",10,36,7,503
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",16,21,11,570
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",12,34,20,494
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",17,20,8,437
"TBP05 - The World's Strongest","2015-06-28 22:55:15",13,24,14,510
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",15,35,13,601
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",21,25,15,574
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",42,71,29,712
"Episode #1 - Introduction","2015-06-01 00:34:44",50,107,95,1106
