"region","total_downloads"
", United States",3481
"Armed Forces Europe, Middle East, & Canada, United States",8
"Alaska, United States",120
"Alabama, United States",189
"Armed Forces Pacific, United States",2
"Arkansas, United States",108
"Arizona, United States",790
"California, United States",12361
"Colorado, United States",1547
"Connecticut, United States",577
"District of Columbia, United States",712
"Delaware, United States",291
"Florida, United States",2306
"Georgia, United States",1211
"Hawaii, United States",197
"Iowa, United States",315
"Idaho, United States",84
"Illinois, United States",2190
"Indiana, United States",440
"Kansas, United States",745
"Kentucky, United States",360
"Louisiana, United States",304
"Massachusetts, United States",910
"Maryland, United States",1200
"Maine, United States",82
"Michigan, United States",834
"Minnesota, United States",583
"Missouri, United States",648
"Mississippi, United States",82
"Montana, United States",375
"North Carolina, United States",1026
"North Dakota, United States",38
"Nebraska, United States",135
"New Hampshire, United States",166
"New Jersey, United States",1803
"New Mexico, United States",191
"Nevada, United States",585
"New York, United States",3306
"Ohio, United States",1092
"Oklahoma, United States",303
"Oregon, United States",1074
"Pennsylvania, United States",1461
"Rhode Island, United States",91
"South Carolina, United States",233
"South Dakota, United States",169
"Tennessee, United States",372
"Texas, United States",6797
"Utah, United States",394
"Virginia, United States",2633
"Vermont, United States",74
"Washington, United States",2217
"Wisconsin, United States",637
"West Virginia, United States",72
"Wyoming, United States",23
