"region","total_downloads"
", United States",2934
"Armed Forces Europe, Middle East, & Canada, United States",6
"Alaska, United States",116
"Alabama, United States",153
"Armed Forces Pacific, United States",1
"Arkansas, United States",67
"Arizona, United States",650
"California, United States",9736
"Colorado, United States",1251
"Connecticut, United States",422
"District of Columbia, United States",639
"Delaware, United States",179
"Florida, United States",1896
"Georgia, United States",943
"Hawaii, United States",117
"Iowa, United States",275
"Idaho, United States",71
"Illinois, United States",1778
"Indiana, United States",319
"Kansas, United States",282
"Kentucky, United States",306
"Louisiana, United States",280
"Massachusetts, United States",725
"Maryland, United States",982
"Maine, United States",53
"Michigan, United States",619
"Minnesota, United States",449
"Missouri, United States",425
"Mississippi, United States",56
"Montana, United States",255
"North Carolina, United States",748
"North Dakota, United States",37
"Nebraska, United States",113
"New Hampshire, United States",153
"New Jersey, United States",1279
"New Mexico, United States",178
"Nevada, United States",479
"New York, United States",2558
"Ohio, United States",909
"Oklahoma, United States",246
"Oregon, United States",710
"Pennsylvania, United States",1152
"Rhode Island, United States",68
"South Carolina, United States",178
"South Dakota, United States",151
"Tennessee, United States",279
"Texas, United States",5731
"Utah, United States",297
"Virginia, United States",1374
"Vermont, United States",64
"Washington, United States",1546
"Wisconsin, United States",562
"West Virginia, United States",66
"Wyoming, United States",22
