"item_title","release_date","downloads__november","downloads__october","downloads__september","downloads__total"
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",633,0,0,633
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",623,0,0,623
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",703,0,0,703
"TBP97 - Hype or Hope","2016-11-06 00:57:36",1180,0,0,1180
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",285,518,0,803
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",554,603,0,1157
"TBP95 - The JOBS Act","2016-10-27 00:09:26",152,988,0,1140
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",147,1806,0,1953
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",331,2815,0,3146
"TBP92 - Myceliated","2016-10-09 04:31:18",54,1419,0,1473
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",28,1229,0,1257
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",112,420,721,1253
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",37,244,805,1086
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",15,144,940,1099
"TBP87 - The World is YOURS","2016-09-18 15:16:48",19,127,1331,1477
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",11,102,1014,1127
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",28,62,966,1056
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",13,45,1163,1221
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",25,144,1454,1627
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",30,76,317,1434
"TBP81 - Redefining Trust","2016-08-21 00:51:47",16,58,180,1377
"TBP80 - A Means to an End","2016-08-13 21:30:49",7,41,115,1257
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",15,75,121,2192
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",9,41,85,1576
"TBP77 - Collective Governance","2016-08-01 02:13:02",83,58,117,1777
"TBP76 - Skynet","2016-07-31 13:56:37",99,56,98,1837
"TBP75 - Attention Economy","2016-07-23 14:57:17",9,35,69,1604
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",7,26,67,1132
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",9,20,32,1413
"TBP72 - The Broader Economy","2016-07-11 13:33:58",9,51,79,3161
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",12,47,65,1583
"TBP70 - Whitehat","2016-07-03 16:51:42",4,14,47,1370
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",9,13,46,1055
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",9,18,29,1905
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",3,10,30,1413
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",6,16,24,1210
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",5,27,26,1198
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",8,28,22,1228
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",6,18,23,1115
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",5,15,12,1101
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",4,15,21,845
"TBP60 - Release the Kraken","2016-05-23 03:32:09",10,60,53,2004
"TBP59 - Incredible India","2016-05-16 15:40:00",6,19,20,959
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",5,23,38,1647
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",4,16,27,1952
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",7,14,11,806
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",6,19,14,1059
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",4,12,7,658
"TBP53 - Tough Math","2016-04-17 16:24:01",5,16,12,1177
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",4,15,9,650
"TBP51 - Such Wow","2016-04-10 17:09:46",3,13,11,641
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",4,14,8,811
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",8,29,46,887
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",3,12,9,677
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",4,12,6,583
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",3,17,8,856
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",6,24,6,692
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",9,15,9,629
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",5,26,9,678
"TBP42 - True Micropayments","2016-02-21 23:13:15",5,19,14,820
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",5,17,8,621
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",6,26,12,1259
"TBP39 - Running the Gamut","2016-02-07 20:14:46",6,10,7,875
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",3,15,9,625
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",5,11,18,624
