"market","total_downloads"
"Portland / Auburn",20
"New York",4651
"Binghamton",54
"Macon",20
"Philadelphia",1419
"Detroit",586
"Boston MA / Manchester",1056
"Savannah",51
"Pittsburgh",347
"Ft. Wayne",24
"Cleveland / Akron (Canton)",249
"Washington DC (Hagerstown)",4485
"Baltimore",528
"Flint / Saginaw / Bay City",36
"Buffalo",111
"Cincinnati",163
"Charlotte",386
"Greensboro / High Point / Winston Salem",212
"Charleston",15
"Augusta",3
"Providence RI / New Bedford",96
"Columbus",17
"Burlington VT / Plattsburgh",101
"Atlanta",1165
"Albany",2
"Utica",15
"Indianapolis",229
"Miami / Ft. Lauderdale",824
"Louisville",222
"Tallahassee FL / Thomasville",12
"Tri-Cities TN",13
"Albany / Schenectady / Troy",179
"Hartford & New Haven",451
"Orlando / Daytona Beach / Melbourne",367
"Columbus",97
"Youngstown",451
"Bangor",59
"Rochester",83
"Tampa / St. Petersburg (Sarasota)",342
"Traverse City / Cadillac",8
"Lexington",70
"Dayton",129
"Springfield / Holyoke",30
"Norfolk / Portsmouth / Newport News",107
"Greenville / New Bern / Washington",7
"Columbia",46
"Toledo",56
"West Palm Beach / Ft. Pierce",272
"Wilmington",25
"Lansing",69
"Presque Isle",4
"Marquette",35
"Syracuse",91
"Richmond / Petersburg",174
"Knoxville",60
"Raleigh / Durham (Fayetteville)",439
"Jacksonville",295
"Grand Rapids / Kalamazoo / Battle Creek",85
"Charleston / Huntington",22
"Elmira",5
"Harrisburg / Lancaster / Lebanon / York",68
"Greenville / Spartanburg SC / Asheville NC / Anderson",131
"Harrisonburg",24
"Florence / Myrtle Beach",57
"Ft. Myers / Naples",81
"Roanoke / Lynchburg",75
"Johnstown / Altoona",212
"Chattanooga",18
"Salisbury",212
"Wilkes Barre / Scranton",30
"Terre Haute",4
"Lafayette",2
"Charlottesville",3
"South Bend / Elkhart",55
"Gainesville",8
"Zanesville",1
"Parkersburg",1
"Clarksburg / Weston",43
"Corpus Christi",37
"Chicago",1999
"Joplin MO / Pittsburg",2
"Columbia / Jefferson City",9
"Topeka",32
"St. Louis",195
"Rockford",66
"Rochester MN / Mason City IA / Austin",9
"Shreveport",36
"Minneapolis / St. Paul",589
"Kansas City",961
"Milwaukee",187
"Houston",703
"Springfield",35
"New Orleans",242
"Dallas / Ft. Worth",1310
"Sioux City",14
"Waco / Temple / Bryan",2179
"Victoria",2
"Wichita Falls TX & Lawton",1
"Birmingham",120
"Ottumwa IA / Kirksville",1
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",93
"Odessa / Midland",30
"Amarillo",2
"Austin",1578
"Harlingen / Weslaco / Brownsville / McAllen",1
"Cedar Rapids / Waterloo / Iowa City & Dubuque",241
"St. Joseph",9
"Jackson",14
"Memphis",123
"San Antonio",288
"Lafayette",14
"Alexandria",2
"Champaign & Springfield / Decatur",11
"Evansville",9
"Oklahoma City",248
"Lubbock",108
"Omaha",105
"Panama City",4
"Sherman TX / Ada",6
"Green Bay / Appleton",58
"Nashville",179
"San Angelo",101
"Abilene / Sweetwater",18
"Madison",360
"Ft. Smith / Fayetteville / Springdale / Rogers",24
"Tulsa",60
"Columbus / Tupelo / West Point",1
"Peoria / Bloomington",38
"Duluth MN / Superior",10
"Wichita / Hutchinson",76
"Des Moines / Ames",35
"Davenport IA / Rock Island / Moline",55
"Mobile AL / Pensacola (Ft. Walton Beach)",29
"Minot / Bismarck / Dickinson(Williston)",35
"Huntsville / Decatur (Florence)",40
"Beaumont / Port Arthur",4
"Little Rock / Pine Bluff",77
"Montgomery (Selma)",8
"La Crosse / Eau Claire",37
"Wausau / Rhinelander",10
"Tyler / Longview(Lufkin & Nacogdoches)",25
"Hattiesburg / Laurel",4
"Baton Rouge",19
"Quincy IL / Hannibal MO / Keokuk",1
"Jackson",43
"Lincoln & Hastings / Kearney",46
"Fargo / Valley City",6
"Sioux Falls(Mitchell)",169
"Bowling Green",44
"Mankato",3
"North Platte",2
"Anchorage",87
"Honolulu",202
"Fairbanks",1
"Biloxi / Gulfport",9
"Juneau",32
"Laredo",8
"Denver",1630
"Colorado Springs / Pueblo",12
"Phoenix",826
"Butte / Bozeman",92
"Great Falls",14
"Billings",198
"Boise",30
"Idaho Falls / Pocatello",7
"Cheyenne WY / Scottsbluff",12
"Twin Falls",10
"Missoula",90
"Rapid City",3
"El Paso",11
"Helena",1
"Salt Lake City",412
"Grand Junction / Montrose",6
"Tucson (Sierra Vista)",27
"Albuquerque / Santa Fe",153
"Bakersfield",72
"Eugene",102
"Eureka",2
"Los Angeles",4150
"Palm Springs",23
"San Francisco / Oakland / San Jose",6490
"Yakima / Pasco / Richland / Kennewick",353
"Reno",30
"Medford / Klamath Falls",11
"Seattle / Tacoma",1994
"Portland",483
"Bend",179
"San Diego",514
"Monterey / Salinas",445
"Las Vegas",570
"Santa Barbara / Santa Maria / San Luis Obispo",53
"Sacramento / Stockton / Modesto",646
"Fresno / Visalia",20
"Chico / Redding",14
"Spokane",142
