"region","total_downloads"
", United States",2681
"Armed Forces Europe, Middle East, & Canada, United States",3
"Alaska, United States",110
"Alabama, United States",144
"Armed Forces Pacific, United States",1
"Arkansas, United States",67
"Arizona, United States",615
"California, United States",8812
"Colorado, United States",1146
"Connecticut, United States",389
"District of Columbia, United States",625
"Delaware, United States",151
"Florida, United States",1835
"Georgia, United States",919
"Hawaii, United States",110
"Iowa, United States",266
"Idaho, United States",62
"Illinois, United States",1662
"Indiana, United States",275
"Kansas, United States",208
"Kentucky, United States",261
"Louisiana, United States",264
"Massachusetts, United States",672
"Maryland, United States",936
"Maine, United States",43
"Michigan, United States",570
"Minnesota, United States",411
"Missouri, United States",412
"Mississippi, United States",50
"Montana, United States",238
"North Carolina, United States",682
"North Dakota, United States",37
"Nebraska, United States",102
"New Hampshire, United States",149
"New Jersey, United States",1174
"New Mexico, United States",165
"Nevada, United States",459
"New York, United States",2338
"Ohio, United States",896
"Oklahoma, United States",234
"Oregon, United States",649
"Pennsylvania, United States",1023
"Rhode Island, United States",55
"South Carolina, United States",164
"South Dakota, United States",150
"Tennessee, United States",241
"Texas, United States",5494
"Utah, United States",267
"Virginia, United States",1242
"Vermont, United States",59
"Washington, United States",1432
"Wisconsin, United States",546
"West Virginia, United States",66
"Wyoming, United States",19
