"region","total_downloads"
", United States",8476
"Armed Forces Europe, Middle East, & Canada, United States",107
"Alaska, United States",412
"Alabama, United States",1774
"Armed Forces Pacific, United States",21
"Arkansas, United States",688
"Arizona, United States",3449
"California, United States",62312
"Colorado, United States",6721
"Connecticut, United States",3095
"District of Columbia, United States",2809
"Delaware, United States",1810
"Florida, United States",13217
"Georgia, United States",6837
"Hawaii, United States",1121
"Iowa, United States",1540
"Idaho, United States",774
"Illinois, United States",11025
"Indiana, United States",1899
"Kansas, United States",1427
"Kentucky, United States",1188
"Louisiana, United States",1920
"Massachusetts, United States",6204
"Maryland, United States",6725
"Maine, United States",421
"Michigan, United States",3969
"Minnesota, United States",3479
"Missouri, United States",2588
"Mississippi, United States",903
"Montana, United States",660
"North Carolina, United States",8915
"North Dakota, United States",162
"Nebraska, United States",953
"New Hampshire, United States",679
"New Jersey, United States",9256
"New Mexico, United States",671
"Nevada, United States",3277
"New York, United States",20682
"Ohio, United States",4912
"Oklahoma, United States",947
"Oregon, United States",4745
"Pennsylvania, United States",7849
"Rhode Island, United States",771
"South Carolina, United States",1410
"South Dakota, United States",268
"Tennessee, United States",3326
"Texas, United States",25979
"Utah, United States",2947
"Virginia, United States",17162
"Vermont, United States",489
"Washington, United States",10367
"Wisconsin, United States",3098
"West Virginia, United States",197
"Wyoming, United States",102
