"region","total_downloads"
", United States",8930
"Armed Forces Europe, Middle East, & Canada, United States",136
"Alaska, United States",535
"Alabama, United States",2041
"Armed Forces Pacific, United States",29
"Arkansas, United States",816
"Arizona, United States",4142
"California, United States",71964
"Colorado, United States",7625
"Connecticut, United States",3645
"District of Columbia, United States",3114
"Delaware, United States",1872
"Florida, United States",14895
"Georgia, United States",7846
"Hawaii, United States",1334
"Iowa, United States",1691
"Idaho, United States",924
"Illinois, United States",12689
"Indiana, United States",2281
"Kansas, United States",1685
"Kentucky, United States",1335
"Louisiana, United States",2210
"Massachusetts, United States",7316
"Maryland, United States",7700
"Maine, United States",453
"Michigan, United States",4715
"Minnesota, United States",4071
"Missouri, United States",3053
"Mississippi, United States",1033
"Montana, United States",685
"North Carolina, United States",10285
"North Dakota, United States",343
"Nebraska, United States",1118
"New Hampshire, United States",849
"New Jersey, United States",10619
"New Mexico, United States",764
"Nevada, United States",3844
"New York, United States",24995
"Ohio, United States",6001
"Oklahoma, United States",1227
"Oregon, United States",5603
"Pennsylvania, United States",8881
"Rhode Island, United States",939
"South Carolina, United States",1669
"South Dakota, United States",287
"Tennessee, United States",3764
"Texas, United States",29360
"Utah, United States",3464
"Virginia, United States",18073
"Vermont, United States",547
"Washington, United States",11689
"Wisconsin, United States",3455
"West Virginia, United States",248
"Wyoming, United States",110
