"region","total_downloads"
", United States",2616
"Armed Forces Europe, Middle East, & Canada, United States",3
"Alaska, United States",106
"Alabama, United States",138
"Armed Forces Pacific, United States",1
"Arkansas, United States",67
"Arizona, United States",607
"California, United States",8503
"Colorado, United States",1076
"Connecticut, United States",360
"District of Columbia, United States",601
"Delaware, United States",146
"Florida, United States",1807
"Georgia, United States",904
"Hawaii, United States",109
"Iowa, United States",262
"Idaho, United States",61
"Illinois, United States",1589
"Indiana, United States",267
"Kansas, United States",205
"Kentucky, United States",259
"Louisiana, United States",255
"Massachusetts, United States",628
"Maryland, United States",877
"Maine, United States",43
"Michigan, United States",535
"Minnesota, United States",398
"Missouri, United States",403
"Mississippi, United States",49
"Montana, United States",235
"North Carolina, United States",661
"North Dakota, United States",37
"Nebraska, United States",97
"New Hampshire, United States",148
"New Jersey, United States",1140
"New Mexico, United States",160
"Nevada, United States",444
"New York, United States",2271
"Ohio, United States",886
"Oklahoma, United States",224
"Oregon, United States",626
"Pennsylvania, United States",984
"Rhode Island, United States",55
"South Carolina, United States",158
"South Dakota, United States",149
"Tennessee, United States",236
"Texas, United States",5419
"Utah, United States",259
"Virginia, United States",1213
"Vermont, United States",56
"Washington, United States",1391
"Wisconsin, United States",528
"West Virginia, United States",65
"Wyoming, United States",19
