"item_title","release_date","downloads__january","downloads__december","downloads__november","downloads__total"
"TBP109 - The Human Influence","2017-01-08 03:14:21",240,0,0,240
"TBP108 - Ether Camp","2017-01-04 15:48:27",754,0,0,754
"On-Ramping with Dee: Episode #2","2017-01-03 00:30:17",844,0,0,844
"BlockChannel Episode 4: Predicting the Future","2017-01-02 21:39:49",766,0,0,766
"TBP107 - Like Father, Like Son","2016-12-31 23:30:19",1027,1,0,1028
"TBP106 - A Very Bitcoin Christmas","2016-12-25 03:48:17",199,1412,0,1611
"On-Ramping with Dee: Episode #1","2016-12-22 15:30:53",120,810,0,930
"TBP105 - Music Industry 2.0","2016-12-18 05:39:44",67,1413,0,1480
"TBP104 - Currency to a Wider Public","2016-12-11 16:45:40",87,1614,0,1701
"TBP103 - A Jack of All Trades","2016-12-04 04:32:53",20,1347,0,1367
"BlockChannel Episode 3: Zero Knowledge, the Future of Privacy","2016-12-01 03:57:34",73,1155,0,1228
"TBP102 - Building Bridges Initiative","2016-11-30 00:54:52",63,847,550,1460
"TBP101 - World's First Supernode Infrastructure","2016-11-27 00:00:57",21,216,849,1086
"TBP100 - Thai Gone Wild","2016-11-19 17:18:43",55,419,1631,2105
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",24,167,1591,1782
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",15,108,867,990
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",10,79,876,965
"TBP97 - Hype or Hope","2016-11-06 00:57:36",54,292,1474,1820
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",14,46,388,966
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",8,38,655,1304
"TBP95 - The JOBS Act","2016-10-27 00:09:26",10,43,227,1268
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",8,58,202,2074
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",13,64,434,3326
"TBP92 - Myceliated","2016-10-09 04:31:18",10,28,84,1541
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",8,32,47,1316
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",54,239,272,1706
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",12,20,58,1139
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",12,36,33,1165
