"market","total_downloads"
"Portland / Auburn",5
"New York",1893
"Binghamton",21
"Macon",1
"Philadelphia",539
"Detroit",220
"Boston MA / Manchester",515
"Savannah",26
"Pittsburgh",144
"Ft. Wayne",10
"Cleveland / Akron (Canton)",93
"Washington DC (Hagerstown)",988
"Baltimore",185
"Flint / Saginaw / Bay City",32
"Buffalo",56
"Cincinnati",111
"Charlotte",104
"Greensboro / High Point / Winston Salem",97
"Charleston",6
"Augusta",3
"Providence RI / New Bedford",30
"Columbus",13
"Burlington VT / Plattsburgh",31
"Atlanta",558
"Utica",12
"Indianapolis",75
"Miami / Ft. Lauderdale",342
"Louisville",132
"Tallahassee FL / Thomasville",10
"Tri-Cities TN",10
"Albany / Schenectady / Troy",48
"Hartford & New Haven",158
"Orlando / Daytona Beach / Melbourne",222
"Columbus",47
"Youngstown",13
"Bangor",1
"Rochester",40
"Tampa / St. Petersburg (Sarasota)",165
"Traverse City / Cadillac",5
"Lexington",4
"Dayton",94
"Springfield / Holyoke",3
"Norfolk / Portsmouth / Newport News",55
"Greenville / New Bern / Washington",5
"Columbia",42
"Toledo",10
"West Palm Beach / Ft. Pierce",181
"Wilmington",3
"Lansing",9
"Presque Isle",4
"Syracuse",40
"Richmond / Petersburg",106
"Knoxville",27
"Raleigh / Durham (Fayetteville)",103
"Jacksonville",205
"Grand Rapids / Kalamazoo / Battle Creek",53
"Elmira",2
"Harrisburg / Lancaster / Lebanon / York",31
"Greenville / Spartanburg SC / Asheville NC / Anderson",39
"Harrisonburg",24
"Florence / Myrtle Beach",17
"Ft. Myers / Naples",14
"Roanoke / Lynchburg",60
"Johnstown / Altoona",80
"Chattanooga",8
"Salisbury",45
"Wilkes Barre / Scranton",4
"Terre Haute",3
"Lafayette",1
"South Bend / Elkhart",10
"Gainesville",4
"Clarksburg / Weston",41
"Corpus Christi",25
"Chicago",748
"Joplin MO / Pittsburg",1
"Columbia / Jefferson City",6
"Topeka",5
"St. Louis",113
"Rockford",44
"Rochester MN / Mason City IA / Austin",9
"Shreveport",31
"Minneapolis / St. Paul",284
"Kansas City",184
"Milwaukee",104
"Houston",302
"Springfield",26
"New Orleans",128
"Dallas / Ft. Worth",445
"Sioux City",14
"Waco / Temple / Bryan",1622
"Victoria",2
"Birmingham",48
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",73
"Odessa / Midland",19
"Austin",985
"Harlingen / Weslaco / Brownsville / McAllen",1
"Cedar Rapids / Waterloo / Iowa City & Dubuque",163
"St. Joseph",3
"Jackson",6
"Memphis",43
"San Antonio",137
"Lafayette",3
"Champaign & Springfield / Decatur",3
"Evansville",9
"Oklahoma City",94
"Lubbock",39
"Omaha",49
"Panama City",3
"Sherman TX / Ada",6
"Green Bay / Appleton",30
"Nashville",64
"San Angelo",2
"Madison",179
"Ft. Smith / Fayetteville / Springdale / Rogers",19
"Tulsa",25
"Columbus / Tupelo / West Point",1
"Peoria / Bloomington",11
"Duluth MN / Superior",1
"Wichita / Hutchinson",27
"Des Moines / Ames",16
"Davenport IA / Rock Island / Moline",27
"Mobile AL / Pensacola (Ft. Walton Beach)",12
"Minot / Bismarck / Dickinson(Williston)",33
"Huntsville / Decatur (Florence)",9
"Beaumont / Port Arthur",2
"Little Rock / Pine Bluff",17
"Montgomery (Selma)",1
"La Crosse / Eau Claire",34
"Wausau / Rhinelander",5
"Tyler / Longview(Lufkin & Nacogdoches)",14
"Hattiesburg / Laurel",3
"Baton Rouge",9
"Jackson",15
"Lincoln & Hastings / Kearney",1
"Sioux Falls(Mitchell)",9
"Bowling Green",43
"Mankato",2
"North Platte",2
"Anchorage",9
"Honolulu",66
"Fairbanks",1
"Biloxi / Gulfport",2
"Juneau",2
"Denver",606
"Colorado Springs / Pueblo",7
"Phoenix",446
"Butte / Bozeman",74
"Great Falls",1
"Billings",32
"Boise",16
"Idaho Falls / Pocatello",4
"Cheyenne WY / Scottsbluff",1
"Twin Falls",9
"Missoula",43
"El Paso",4
"Salt Lake City",83
"Grand Junction / Montrose",6
"Tucson (Sierra Vista)",11
"Albuquerque / Santa Fe",34
"Bakersfield",18
"Eugene",24
"Eureka",2
"Los Angeles",1924
"Palm Springs",20
"San Francisco / Oakland / San Jose",2464
"Yakima / Pasco / Richland / Kennewick",195
"Reno",16
"Medford / Klamath Falls",4
"Seattle / Tacoma",658
"Portland",170
"Bend",48
"San Diego",217
"Monterey / Salinas",171
"Las Vegas",332
"Santa Barbara / Santa Maria / San Luis Obispo",41
"Sacramento / Stockton / Modesto",199
"Fresno / Visalia",11
"Chico / Redding",8
"Spokane",82
