"item_title","release_date","downloads__july","downloads__june","downloads__may","downloads__total"
"TBP70 - Whitehat","2016-07-03 16:51:42",1,0,0,1
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",312,323,0,635
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",92,1437,0,1529
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",16,1165,0,1181
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",13,1043,0,1056
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",7,1038,0,1045
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",5,1074,0,1079
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",3,1005,0,1008
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",1,518,490,1009
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",1,165,584,750
"TBP60 - Release the Kraken","2016-05-23 03:32:09",5,262,1513,1780
"TBP59 - Incredible India","2016-05-16 15:40:00",1,90,755,846
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",1,82,1417,1500
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",7,94,1735,1836
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",4,61,614,679
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",2,51,214,903
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",1,30,64,593
"TBP53 - Tough Math","2016-04-17 16:24:01",6,38,94,1062
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",3,32,51,572
"TBP51 - Such Wow","2016-04-10 17:09:46",2,29,47,546
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",1,31,31,706
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",2,37,40,745
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",2,28,44,611
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",3,33,29,498
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",5,25,37,744
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",4,29,32,595
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",7,34,40,552
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",1,22,28,591
"TBP42 - True Micropayments","2016-02-21 23:13:15",4,23,24,730
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",5,29,25,537
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",3,32,35,1163
"TBP39 - Running the Gamut","2016-02-07 20:14:46",3,22,19,808
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",2,16,17,566
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",1,20,16,541
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",1,10,14,503
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",2,18,22,988
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",2,17,17,748
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",1,24,25,632
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",1,23,23,694
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",1,16,13,444
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",1,11,10,449
"TBP29 - Take the Power Back","2015-12-06 16:35:49",1,18,15,555
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",1,14,31,532
"TBP27 - London Calling","2015-11-22 16:30:21",1,10,11,528
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",1,12,17,483
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",1,8,12,413
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",1,17,19,588
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",1,11,11,350
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",1,15,17,292
"TBP21 - Call For Papers","2015-10-10 13:06:37",1,17,11,334
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",1,14,21,337
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",1,16,17,382
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",1,12,9,358
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",1,12,10,464
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",1,13,13,388
"TBP15 - Ants Marching","2015-08-30 19:31:14",1,12,12,352
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",1,12,12,497
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",1,13,10,408
"TBP12 - Boring Economics","2015-08-08 00:53:49",1,18,13,569
"TBP11 - The End of Money","2015-08-03 04:12:02",1,10,20,506
"TBP10 - Bottoms Up","2015-07-24 13:32:59",1,14,10,418
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",1,7,13,458
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",1,11,12,534
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",1,20,11,449
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",1,8,13,401
"TBP05 - The World's Strongest","2015-06-28 22:55:15",1,14,25,474
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",1,13,26,552
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",2,15,30,530
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",1,29,38,600
"Episode #1 - Introduction","2015-06-01 00:34:44",7,95,59,956
