"region","total_downloads"
", United States",4884
"Armed Forces Europe, Middle East, & Canada, United States",12
"Alaska, United States",121
"Alabama, United States",451
"Armed Forces Pacific, United States",3
"Arkansas, United States",190
"Arizona, United States",1233
"California, United States",20178
"Colorado, United States",2751
"Connecticut, United States",927
"District of Columbia, United States",1132
"Delaware, United States",1118
"Florida, United States",3878
"Georgia, United States",2224
"Hawaii, United States",338
"Iowa, United States",513
"Idaho, United States",194
"Illinois, United States",3838
"Indiana, United States",739
"Kansas, United States",802
"Kentucky, United States",509
"Louisiana, United States",437
"Massachusetts, United States",1664
"Maryland, United States",1968
"Maine, United States",135
"Michigan, United States",1346
"Minnesota, United States",967
"Missouri, United States",1047
"Mississippi, United States",207
"Montana, United States",456
"North Carolina, United States",1997
"North Dakota, United States",44
"Nebraska, United States",241
"New Hampshire, United States",243
"New Jersey, United States",3148
"New Mexico, United States",240
"Nevada, United States",989
"New York, United States",5538
"Ohio, United States",1590
"Oklahoma, United States",519
"Oregon, United States",1753
"Pennsylvania, United States",2729
"Rhode Island, United States",189
"South Carolina, United States",531
"South Dakota, United States",216
"Tennessee, United States",836
"Texas, United States",9563
"Utah, United States",838
"Virginia, United States",8351
"Vermont, United States",96
"Washington, United States",3873
"Wisconsin, United States",1103
"West Virginia, United States",74
"Wyoming, United States",36
