"region","total_downloads"
", United States",2301
"Armed Forces Europe, Middle East, & Canada, United States",3
"Alaska, United States",99
"Alabama, United States",112
"Armed Forces Pacific, United States",1
"Arkansas, United States",63
"Arizona, United States",554
"California, United States",7050
"Colorado, United States",873
"Connecticut, United States",324
"District of Columbia, United States",457
"Delaware, United States",111
"Florida, United States",1579
"Georgia, United States",813
"Hawaii, United States",93
"Iowa, United States",241
"Idaho, United States",54
"Illinois, United States",1283
"Indiana, United States",192
"Kansas, United States",153
"Kentucky, United States",232
"Louisiana, United States",223
"Massachusetts, United States",518
"Maryland, United States",647
"Maine, United States",36
"Michigan, United States",451
"Minnesota, United States",348
"Missouri, United States",364
"Mississippi, United States",32
"Montana, United States",195
"North Carolina, United States",538
"North Dakota, United States",34
"Nebraska, United States",79
"New Hampshire, United States",116
"New Jersey, United States",1000
"New Mexico, United States",113
"Nevada, United States",402
"New York, United States",1860
"Ohio, United States",827
"Oklahoma, United States",193
"Oregon, United States",533
"Pennsylvania, United States",827
"Rhode Island, United States",49
"South Carolina, United States",131
"South Dakota, United States",24
"Tennessee, United States",198
"Texas, United States",4759
"Utah, United States",207
"Virginia, United States",952
"Vermont, United States",38
"Washington, United States",1045
"Wisconsin, United States",471
"West Virginia, United States",54
"Wyoming, United States",12
