"region","total_downloads"
", United States",5905
"Armed Forces Europe, Middle East, & Canada, United States",15
"Alaska, United States",126
"Alabama, United States",708
"Armed Forces Pacific, United States",7
"Arkansas, United States",262
"Arizona, United States",1457
"California, United States",26808
"Colorado, United States",3377
"Connecticut, United States",1346
"District of Columbia, United States",1404
"Delaware, United States",1222
"Florida, United States",4744
"Georgia, United States",2841
"Hawaii, United States",475
"Iowa, United States",603
"Idaho, United States",314
"Illinois, United States",4985
"Indiana, United States",898
"Kansas, United States",896
"Kentucky, United States",605
"Louisiana, United States",671
"Massachusetts, United States",2154
"Maryland, United States",2738
"Maine, United States",205
"Michigan, United States",1806
"Minnesota, United States",1273
"Missouri, United States",1264
"Mississippi, United States",244
"Montana, United States",546
"North Carolina, United States",3623
"North Dakota, United States",53
"Nebraska, United States",332
"New Hampshire, United States",266
"New Jersey, United States",3985
"New Mexico, United States",301
"Nevada, United States",1252
"New York, United States",7466
"Ohio, United States",2271
"Oklahoma, United States",593
"Oregon, United States",2439
"Pennsylvania, United States",3360
"Rhode Island, United States",236
"South Carolina, United States",706
"South Dakota, United States",251
"Tennessee, United States",1287
"Texas, United States",11638
"Utah, United States",1168
"Virginia, United States",11457
"Vermont, United States",110
"Washington, United States",4832
"Wisconsin, United States",1381
"West Virginia, United States",94
"Wyoming, United States",41
