"item_title","release_date","downloads__september","downloads__august","downloads__july","downloads__total"
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",324,0,0,324
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",1020,0,0,1020
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",1236,4,0,1240
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",183,1011,0,1194
"TBP81 - Redefining Trust","2016-08-21 00:51:47",78,1123,0,1201
"TBP80 - A Means to an End","2016-08-13 21:30:49",60,1094,0,1154
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",64,1981,0,2045
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",27,1441,0,1468
"TBP77 - Collective Governance","2016-08-01 02:13:02",23,1519,0,1542
"TBP76 - Skynet","2016-07-31 13:56:37",16,1192,392,1600
"TBP75 - Attention Economy","2016-07-23 14:57:17",19,285,1206,1510
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",7,111,921,1039
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",7,90,1262,1359
"TBP72 - The Broader Economy","2016-07-11 13:33:58",24,293,2729,3046
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",7,71,1388,1466
"TBP70 - Whitehat","2016-07-03 16:51:42",11,48,1257,1316
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",5,51,613,992
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",6,74,338,1855
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",7,25,180,1377
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",2,22,99,1166
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",4,25,77,1144
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",4,18,78,1174
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",5,16,47,1073
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",2,18,43,1071
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",6,15,41,811
"TBP60 - Release the Kraken","2016-05-23 03:32:09",11,27,79,1892
"TBP59 - Incredible India","2016-05-16 15:40:00",5,26,43,919
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",6,30,52,1587
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",5,23,53,1910
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",2,20,79,776
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",3,69,50,1023
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",1,12,31,636
"TBP53 - Tough Math","2016-04-17 16:24:01",4,25,63,1148
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",2,18,35,624
"TBP51 - Such Wow","2016-04-10 17:09:46",0,19,51,614
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",2,18,62,787
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",3,12,49,807
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",1,15,29,654
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",0,26,40,561
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",2,28,61,830
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",0,13,52,656
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",2,11,40,598
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",0,16,32,638
"TBP42 - True Micropayments","2016-02-21 23:13:15",5,14,42,787
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",1,15,44,592
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",3,13,42,1218
"TBP39 - Running the Gamut","2016-02-07 20:14:46",0,11,36,852
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",1,11,23,599
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",5,18,32,595
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",2,9,22,535
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",5,16,20,1027
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",1,10,22,779
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",1,12,18,662
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",1,11,19,724
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",0,13,18,474
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",1,12,14,475
"TBP29 - Take the Power Back","2015-12-06 16:35:49",0,13,20,587
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",1,10,18,560
"TBP27 - London Calling","2015-11-22 16:30:21",1,14,19,561
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",0,10,19,511
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",1,12,11,436
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",2,16,21,626
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",0,16,21,386
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",0,16,17,324
"TBP21 - Call For Papers","2015-10-10 13:06:37",1,11,18,363
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",0,20,22,378
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",0,11,20,412
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",0,15,17,389
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",0,11,15,489
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",1,11,20,419
"TBP15 - Ants Marching","2015-08-30 19:31:14",4,14,21,390
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",7,15,27,545
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",1,14,19,441
"TBP12 - Boring Economics","2015-08-08 00:53:49",0,14,32,614
"TBP11 - The End of Money","2015-08-03 04:12:02",3,15,24,547
"TBP10 - Bottoms Up","2015-07-24 13:32:59",4,16,13,450
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",3,18,36,514
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",4,23,21,581
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",180,296,34,958
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",179,298,20,897
"TBP05 - The World's Strongest","2015-06-28 22:55:15",179,296,24,972
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",184,297,35,1067
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",181,312,25,1046
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",182,338,71,1190
"Episode #1 - Introduction","2015-06-01 00:34:44",200,356,107,1612
