"item_title","release_date","downloads__june","downloads__may","downloads__april","downloads__total"
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",685,0,0,685
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",945,0,0,945
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",995,0,0,995
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",1022,0,0,1022
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",967,0,0,967
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",498,490,0,988
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",148,584,0,732
"TBP60 - Release the Kraken","2016-05-23 03:32:09",229,1513,0,1742
"TBP59 - Incredible India","2016-05-16 15:40:00",74,755,0,829
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",62,1417,0,1479
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",77,1735,0,1812
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",46,614,0,660
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",41,214,636,891
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",23,64,498,585
"TBP53 - Tough Math","2016-04-17 16:24:01",27,94,924,1045
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",21,51,486,558
"TBP51 - Such Wow","2016-04-10 17:09:46",22,47,468,537
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",24,31,643,698
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",28,40,413,734
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",20,44,77,601
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",22,29,34,484
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",22,37,40,736
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",21,32,53,583
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",27,40,25,538
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",16,28,41,584
"TBP42 - True Micropayments","2016-02-21 23:13:15",16,24,17,719
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",22,25,18,525
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",22,35,16,1150
"TBP39 - Running the Gamut","2016-02-07 20:14:46",16,19,7,799
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",12,17,10,560
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",13,16,12,533
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",8,14,6,500
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",14,22,18,982
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",10,17,12,739
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",21,25,7,628
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",20,23,7,690
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",14,13,21,441
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",9,10,3,446
"TBP29 - Take the Power Back","2015-12-06 16:35:49",16,15,34,552
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",13,31,5,530
"TBP27 - London Calling","2015-11-22 16:30:21",9,11,3,526
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",8,17,2,478
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",7,12,6,411
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",13,19,11,583
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",10,11,5,348
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",14,17,3,290
"TBP21 - Call For Papers","2015-10-10 13:06:37",16,11,3,332
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",13,21,11,335
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",14,17,2,379
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",11,9,3,356
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",10,10,2,461
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",12,13,6,386
"TBP15 - Ants Marching","2015-08-30 19:31:14",11,12,5,350
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",11,12,6,495
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",11,10,4,405
"TBP12 - Boring Economics","2015-08-08 00:53:49",17,13,7,567
"TBP11 - The End of Money","2015-08-03 04:12:02",10,20,6,505
"TBP10 - Bottoms Up","2015-07-24 13:32:59",13,10,6,416
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",7,13,7,457
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",10,12,6,532
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",18,11,5,446
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",8,13,5,400
"TBP05 - The World's Strongest","2015-06-28 22:55:15",11,25,14,470
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",11,26,32,549
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",11,30,19,524
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",27,38,20,597
"Episode #1 - Introduction","2015-06-01 00:34:44",86,59,55,940
