"market","total_downloads"
"Portland / Auburn",20
"New York",5404
"Binghamton",71
"Macon",25
"Philadelphia",1770
"Detroit",679
"Boston MA / Manchester",1300
"Savannah",62
"Pittsburgh",362
"Ft. Wayne",25
"Cleveland / Akron (Canton)",268
"Washington DC (Hagerstown)",6487
"Baltimore",668
"Flint / Saginaw / Bay City",36
"Buffalo",140
"Cincinnati",183
"Charlotte",438
"Greensboro / High Point / Winston Salem",246
"Charleston",15
"Augusta",3
"Providence RI / New Bedford",107
"Columbus",21
"Burlington VT / Plattsburgh",109
"Atlanta",1475
"Albany",9
"Utica",28
"Indianapolis",300
"Miami / Ft. Lauderdale",908
"Louisville",238
"Tallahassee FL / Thomasville",12
"Tri-Cities TN",13
"Albany / Schenectady / Troy",188
"Hartford & New Haven",555
"Orlando / Daytona Beach / Melbourne",434
"Columbus",107
"Youngstown",451
"Bangor",59
"Rochester",111
"Tampa / St. Petersburg (Sarasota)",402
"Traverse City / Cadillac",8
"Lexington",85
"Dayton",141
"Springfield / Holyoke",58
"Norfolk / Portsmouth / Newport News",120
"Greenville / New Bern / Washington",8
"Columbia",50
"Toledo",57
"West Palm Beach / Ft. Pierce",361
"Wilmington",25
"Lansing",72
"Presque Isle",4
"Marquette",37
"Syracuse",112
"Richmond / Petersburg",187
"Knoxville",95
"Raleigh / Durham (Fayetteville)",513
"Jacksonville",323
"Grand Rapids / Kalamazoo / Battle Creek",87
"Charleston / Huntington",22
"Elmira",5
"Harrisburg / Lancaster / Lebanon / York",88
"Greenville / Spartanburg SC / Asheville NC / Anderson",162
"Harrisonburg",24
"Florence / Myrtle Beach",69
"Ft. Myers / Naples",156
"Roanoke / Lynchburg",81
"Johnstown / Altoona",262
"Chattanooga",19
"Salisbury",254
"Wilkes Barre / Scranton",55
"Terre Haute",6
"Lafayette",2
"Charlottesville",3
"South Bend / Elkhart",71
"Gainesville",8
"Zanesville",1
"Parkersburg",1
"Clarksburg / Weston",45
"Corpus Christi",37
"Chicago",2359
"Joplin MO / Pittsburg",2
"Columbia / Jefferson City",14
"Topeka",32
"St. Louis",249
"Rockford",68
"Rochester MN / Mason City IA / Austin",9
"Shreveport",36
"Minneapolis / St. Paul",670
"Kansas City",1016
"Milwaukee",220
"Houston",902
"Springfield",55
"New Orleans",274
"Dallas / Ft. Worth",1626
"Sioux City",17
"Waco / Temple / Bryan",2278
"Victoria",2
"Wichita Falls TX & Lawton",2
"Birmingham",171
"Ottumwa IA / Kirksville",1
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",95
"Odessa / Midland",37
"Amarillo",7
"Austin",1691
"Harlingen / Weslaco / Brownsville / McAllen",4
"Cedar Rapids / Waterloo / Iowa City & Dubuque",264
"St. Joseph",9
"Jackson",23
"Memphis",168
"San Antonio",309
"Lafayette",15
"Alexandria",3
"Champaign & Springfield / Decatur",31
"Evansville",18
"Oklahoma City",328
"Lubbock",126
"Omaha",132
"Panama City",4
"Sherman TX / Ada",6
"Green Bay / Appleton",62
"Nashville",245
"San Angelo",113
"Abilene / Sweetwater",19
"Madison",399
"Ft. Smith / Fayetteville / Springdale / Rogers",28
"Tulsa",71
"Columbus / Tupelo / West Point",2
"Peoria / Bloomington",90
"Duluth MN / Superior",16
"Wichita / Hutchinson",76
"Des Moines / Ames",56
"Davenport IA / Rock Island / Moline",57
"Mobile AL / Pensacola (Ft. Walton Beach)",48
"Minot / Bismarck / Dickinson(Williston)",35
"Huntsville / Decatur (Florence)",42
"Beaumont / Port Arthur",4
"Little Rock / Pine Bluff",127
"Montgomery (Selma)",15
"La Crosse / Eau Claire",38
"Wausau / Rhinelander",10
"Tyler / Longview(Lufkin & Nacogdoches)",26
"Hattiesburg / Laurel",8
"Baton Rouge",32
"Quincy IL / Hannibal MO / Keokuk",1
"Jackson",59
"Lincoln & Hastings / Kearney",53
"Fargo / Valley City",6
"Sioux Falls(Mitchell)",180
"Bowling Green",44
"Mankato",3
"North Platte",2
"Anchorage",88
"Honolulu",227
"Fairbanks",1
"Biloxi / Gulfport",9
"Juneau",32
"Laredo",8
"Denver",2081
"Colorado Springs / Pueblo",27
"Phoenix",919
"Butte / Bozeman",104
"Great Falls",14
"Billings",198
"Boise",31
"Idaho Falls / Pocatello",7
"Cheyenne WY / Scottsbluff",15
"Twin Falls",10
"Missoula",90
"Rapid City",5
"El Paso",21
"Helena",1
"Salt Lake City",609
"Grand Junction / Montrose",6
"Tucson (Sierra Vista)",28
"Albuquerque / Santa Fe",167
"Bakersfield",113
"Eugene",122
"Eureka",5
"Los Angeles",4943
"Palm Springs",23
"San Francisco / Oakland / San Jose",7248
"Yakima / Pasco / Richland / Kennewick",454
"Reno",35
"Medford / Klamath Falls",13
"Seattle / Tacoma",2352
"Portland",629
"Bend",198
"San Diego",661
"Monterey / Salinas",529
"Las Vegas",633
"Santa Barbara / Santa Maria / San Luis Obispo",57
"Sacramento / Stockton / Modesto",739
"Fresno / Visalia",21
"Chico / Redding",14
"Spokane",148
