"country_name","total_downloads"
"",300
"Anonymous Proxy",1034
"United Arab Emirates",108
"Antigua and Barbuda",3
"Asia/Pacific Region",1
"Argentina",122
"Austria",163
"Australia",1206
"Aruba",2
"Azerbaijan",53
"Bosnia and Herzegovina",8
"Barbados",67
"Bangladesh",1
"Belgium",107
"Bulgaria",60
"Bahrain",10
"Bolivia",2
"Bonaire, Saint Eustatius and Saba",1
"Brazil",513
"Bhutan",1
"Belarus",2
"Canada",1506
"Switzerland",334
"Chile",120
"China",640
"Colombia",50
"Costa Rica",71
"Cuba",2
"Curaï¿½ao",3
"Cyprus",1
"Czech Republic",67
"Germany",1184
"Denmark",77
"Dominican Republic",21
"Algeria",6
"Ecuador",1
"Estonia",60
"Egypt",2
"Spain",362
"Europe",1
"Finland",158
"France",370
"United Kingdom",2528
"Georgia",15
"Guernsey",2
"Gibraltar",6
"Greece",46
"Guatemala",11
"Guam",4
"Hong Kong",61
"Honduras",1
"Croatia",25
"Hungary",6
"Indonesia",41
"Ireland",185
"Israel",108
"Isle of Man",14
"India",647
"Iran, Islamic Republic of",1
"Iceland",12
"Italy",215
"Jamaica",2
"Japan",385
"Kenya",85
"Kyrgyzstan",12
"Cambodia",9
"Korea, Republic of",109
"Kuwait",1
"Kazakhstan",13
"Lao People's Democratic Republic",1
"Liechtenstein",1
"Liberia",2
"Lithuania",16
"Luxembourg",12
"Latvia",61
"Morocco",11
"Monaco",39
"Moldova, Republic of",4
"Macedonia",2
"Myanmar",1
"Macau",2
"Martinique",1
"Malta",4
"Mauritius",2
"Mexico",185
"Malaysia",39
"Nigeria",122
"Nicaragua",32
"Netherlands",520
"Norway",256
"New Zealand",163
"Oman",1
"Panama",2
"Peru",10
"Philippines",60
"Pakistan",8
"Poland",82
"Puerto Rico",33
"Portugal",32
"Qatar",4
"Reunion",1
"Romania",77
"Serbia",38
"Russian Federation",53
"Rwanda",3
"Saudi Arabia",31
"Seychelles",1
"Sweden",768
"Singapore",194
"Slovenia",241
"Slovakia",30
"Suriname",1
"El Salvador",5
"Sint Maarten (Dutch part)",1
"Thailand",75
"Tunisia",1
"Turkey",27
"Trinidad and Tobago",13
"Taiwan",28
"Tanzania, United Republic of",165
"Ukraine",14
"United States",20627
"Venezuela",15
"Virgin Islands, British",3
"Vietnam",47
"South Africa",154
"Zimbabwe",4
