"market","total_downloads"
"Portland / Auburn",373
"New York",26028
"Binghamton",119
"Macon",97
"Philadelphia",6968
"Detroit",2411
"Boston MA / Manchester",6199
"Savannah",302
"Pittsburgh",1888
"Ft. Wayne",47
"Cleveland / Akron (Canton)",1227
"Washington DC (Hagerstown)",21928
"Baltimore",2895
"Flint / Saginaw / Bay City",236
"Buffalo",646
"Cincinnati",903
"Erie",5
"Charlotte",2776
"Greensboro / High Point / Winston Salem",683
"Charleston",95
"Augusta",79
"Providence RI / New Bedford",832
"Columbus",106
"Burlington VT / Plattsburgh",647
"Atlanta",5368
"Albany",84
"Utica",126
"Indianapolis",1125
"Miami / Ft. Lauderdale",4638
"Louisville",742
"Tallahassee FL / Thomasville",99
"Tri-Cities TN",154
"Albany / Schenectady / Troy",506
"Hartford & New Haven",2323
"Orlando / Daytona Beach / Melbourne",2137
"Columbus",1165
"Youngstown",530
"Bangor",70
"Rochester",520
"Tampa / St. Petersburg (Sarasota)",2671
"Traverse City / Cadillac",193
"Lexington",243
"Dayton",320
"Springfield / Holyoke",353
"Norfolk / Portsmouth / Newport News",676
"Greenville / New Bern / Washington",51
"Columbia",363
"Toledo",568
"West Palm Beach / Ft. Pierce",1234
"Watertown",92
"Wilmington",353
"Lansing",240
"Presque Isle",4
"Marquette",44
"Wheeling WV / Steubenville",12
"Syracuse",328
"Richmond / Petersburg",711
"Knoxville",378
"Lima",2
"Bluefield / Beckley / Oak Hill",35
"Raleigh / Durham (Fayetteville)",4584
"Jacksonville",1027
"Grand Rapids / Kalamazoo / Battle Creek",562
"Charleston / Huntington",60
"Elmira",10
"Harrisburg / Lancaster / Lebanon / York",696
"Greenville / Spartanburg SC / Asheville NC / Anderson",804
"Harrisonburg",50
"Florence / Myrtle Beach",156
"Ft. Myers / Naples",461
"Roanoke / Lynchburg",306
"Johnstown / Altoona",423
"Chattanooga",289
"Salisbury",1252
"Wilkes Barre / Scranton",287
"Terre Haute",20
"Lafayette",22
"Charlottesville",98
"South Bend / Elkhart",209
"Gainesville",122
"Zanesville",3
"Parkersburg",21
"Clarksburg / Weston",53
"Corpus Christi",53
"Chicago",8470
"Joplin MO / Pittsburg",14
"Columbia / Jefferson City",106
"Topeka",112
"Dothan",22
"St. Louis",1489
"Rockford",147
"Rochester MN / Mason City IA / Austin",146
"Shreveport",262
"Minneapolis / St. Paul",3291
"Kansas City",1521
"Milwaukee",985
"Houston",4224
"Springfield",339
"New Orleans",1107
"Dallas / Ft. Worth",7688
"Sioux City",25
"Waco / Temple / Bryan",3226
"Victoria",2
"Wichita Falls TX & Lawton",9
"Monroe LA / El Dorado",58
"Birmingham",762
"Ottumwa IA / Kirksville",4
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",225
"Odessa / Midland",215
"Amarillo",109
"Austin",5083
"Harlingen / Weslaco / Brownsville / McAllen",16
"Cedar Rapids / Waterloo / Iowa City & Dubuque",818
"St. Joseph",18
"Jackson",83
"Memphis",640
"San Antonio",697
"Lafayette",32
"Lake Charles",4
"Alexandria",22
"Champaign & Springfield / Decatur",182
"Evansville",35
"Oklahoma City",719
"Lubbock",395
"Omaha",660
"Panama City",32
"Sherman TX / Ada",29
"Green Bay / Appleton",255
"Nashville",1753
"San Angelo",219
"Abilene / Sweetwater",23
"Madison",1584
"Ft. Smith / Fayetteville / Springdale / Rogers",201
"Tulsa",138
"Columbus / Tupelo / West Point",18
"Peoria / Bloomington",165
"Duluth MN / Superior",49
"Wichita / Hutchinson",343
"Des Moines / Ames",368
"Davenport IA / Rock Island / Moline",131
"Mobile AL / Pensacola (Ft. Walton Beach)",469
"Minot / Bismarck / Dickinson(Williston)",137
"Huntsville / Decatur (Florence)",315
"Beaumont / Port Arthur",25
"Little Rock / Pine Bluff",378
"Montgomery (Selma)",165
"La Crosse / Eau Claire",250
"Wausau / Rhinelander",41
"Tyler / Longview(Lufkin & Nacogdoches)",215
"Hattiesburg / Laurel",106
"Baton Rouge",361
"Quincy IL / Hannibal MO / Keokuk",3
"Jackson",258
"Lincoln & Hastings / Kearney",352
"Fargo / Valley City",45
"Sioux Falls(Mitchell)",260
"Jonesboro",15
"Bowling Green",64
"Mankato",14
"North Platte",2
"Anchorage",314
"Honolulu",1103
"Fairbanks",11
"Biloxi / Gulfport",403
"Juneau",87
"Laredo",9
"Denver",6202
"Colorado Springs / Pueblo",322
"Phoenix",3074
"Butte / Bozeman",222
"Great Falls",74
"Billings",240
"Boise",284
"Idaho Falls / Pocatello",107
"Cheyenne WY / Scottsbluff",68
"Twin Falls",49
"Missoula",129
"Rapid City",7
"El Paso",58
"Helena",1
"Casper / Riverton",5
"Salt Lake City",2849
"Yuma AZ / El Centro",5
"Grand Junction / Montrose",87
"Tucson (Sierra Vista)",245
"Albuquerque / Santa Fe",571
"Bakersfield",250
"Eugene",487
"Eureka",26
"Los Angeles",21143
"Palm Springs",221
"San Francisco / Oakland / San Jose",27159
"Yakima / Pasco / Richland / Kennewick",822
"Reno",263
"Medford / Klamath Falls",141
"Seattle / Tacoma",8737
"Portland",3170
"Bend",341
"San Diego",3915
"Monterey / Salinas",1776
"Las Vegas",2930
"Santa Barbara / Santa Maria / San Luis Obispo",736
"Sacramento / Stockton / Modesto",2943
"Fresno / Visalia",163
"Chico / Redding",99
"Spokane",646
