"item_title","release_date","downloads__april","downloads__march","downloads__february","downloads__total"
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",1514,0,0,1514
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",1747,0,0,1747
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",1107,0,0,1107
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",1314,0,0,1314
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",1849,0,0,1849
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",1367,0,0,1367
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",1388,0,0,1388
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",1880,0,0,1880
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",1425,0,0,1425
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",2309,0,0,2309
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",1981,0,0,1981
"TBP120 - The Token Protocol","2017-03-25 20:31:45",854,1994,0,2848
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",358,1751,0,2109
"TBP119 - Shorting the Bull Rally II","2017-03-20 00:28:59",324,1439,0,1763
"BlockChannel Episode 14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir","2017-03-18 19:23:52",260,1360,0,1620
"TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto","2017-03-12 00:58:57",278,2096,0,2374
"Episode #7: On-Ramping with Dee","2017-03-10 15:53:59",175,1149,0,1324
"BlockChannel Episode 13: Decentralized Web Browsing, with Blockstack","2017-03-07 02:41:19",204,1440,0,1644
"TBP117 - Venturing Into the Web3","2017-03-05 03:04:22",310,1599,0,1909
"TBP116 - Building the Iron Man Suit","2017-02-26 17:50:26",227,1000,990,2217
"BlockChannel Episode 12: In Ethereum, WeTrust","2017-02-22 00:20:08",178,694,1236,2108
"Episode #6: On-Ramping with Dee","2017-02-20 17:00:38",137,364,1020,1521
"BlockChannel Episode 11: Bridging Ethereum and Media with Jaak.io","2017-02-20 01:45:27",128,256,778,1162
"TBP115 - This Week in Ethereum","2017-02-18 20:58:23",168,354,1268,1790
"BlockChannel Episode 10: A Bitcoin Venture Outside the Great Wall","2017-02-17 15:25:32",108,184,961,1253
"TBP114 - Life After Trezor","2017-02-12 06:32:10",174,303,1889,2366
"BlockChannel Episode 9: Getting Gamers on Ethereum with FirstBlood","2017-02-08 03:17:23",75,195,1200,1470
"TBP113 - Innovators' Lab","2017-02-05 06:01:34",128,249,1584,1961
"Episode #5: On-Ramping with Dee","2017-02-03 22:54:38",230,329,1243,1802
"BlockChannel Episode 8: Hit or Stay, a Bet on 21.co","2017-02-02 16:14:25",164,309,1032,1505
"BlockChannel Episode 7: Meet Your Maker, Ethereum","2017-02-02 03:17:22",49,159,1218,1426
"TBP112 - The Broader Economy II","2017-01-28 22:29:43",178,261,1025,2969
