"region","total_downloads"
", United States",2969
"Armed Forces Europe, Middle East, & Canada, United States",7
"Alaska, United States",117
"Alabama, United States",156
"Armed Forces Pacific, United States",1
"Arkansas, United States",67
"Arizona, United States",653
"California, United States",9985
"Colorado, United States",1266
"Connecticut, United States",426
"District of Columbia, United States",655
"Delaware, United States",182
"Florida, United States",1914
"Georgia, United States",956
"Hawaii, United States",118
"Iowa, United States",277
"Idaho, United States",71
"Illinois, United States",1800
"Indiana, United States",334
"Kansas, United States",284
"Kentucky, United States",310
"Louisiana, United States",283
"Massachusetts, United States",742
"Maryland, United States",992
"Maine, United States",53
"Michigan, United States",630
"Minnesota, United States",463
"Missouri, United States",429
"Mississippi, United States",56
"Montana, United States",269
"North Carolina, United States",772
"North Dakota, United States",37
"Nebraska, United States",115
"New Hampshire, United States",153
"New Jersey, United States",1319
"New Mexico, United States",178
"Nevada, United States",483
"New York, United States",2611
"Ohio, United States",953
"Oklahoma, United States",248
"Oregon, United States",719
"Pennsylvania, United States",1172
"Rhode Island, United States",68
"South Carolina, United States",192
"South Dakota, United States",152
"Tennessee, United States",287
"Texas, United States",5802
"Utah, United States",309
"Virginia, United States",1496
"Vermont, United States",65
"Washington, United States",1581
"Wisconsin, United States",576
"West Virginia, United States",71
"Wyoming, United States",22
