"Date","Downloads"
"2018-08-10","28"
"2018-08-11","19"
"2018-08-12","25"
"2018-08-13","47"
"2018-08-14","48"
"2018-08-15","34"
"2018-08-16","39"
"2018-08-17","24"
"2018-08-18","16"
"2018-08-19","38"
"2018-08-20","68"
"2018-08-21","56"
"2018-08-22","42"
"2018-08-23","34"
"2018-08-24","20"
"2018-08-25","32"
"2018-08-26","22"
"2018-08-27","35"
"2018-08-28","39"
"2018-08-29","56"
"2018-08-30","59"
"2018-08-31","24"
"2018-09-01","20"
"2018-09-02","36"
"2018-09-03","31"
"2018-09-04","57"
"2018-09-05","68"
"2018-09-06","62"
"2018-09-07","43"
"2018-09-08","13"
"2018-09-09","31"
"2018-09-10","48"
"2018-09-11","22"
"2018-09-12","43"
"2018-09-13","32"
"2018-09-14","46"
"2018-09-15","38"
"2018-09-16","22"
"2018-09-17","39"
"2018-09-18","42"
"2018-09-19","41"
"2018-09-20","43"
"2018-09-21","37"
"2018-09-22","31"
"2018-09-23","37"
"2018-09-24","50"
"2018-09-25","46"
"2018-09-26","56"
"2018-09-27","72"
"2018-09-28","37"
"2018-09-29","15"
"2018-09-30","9"
"2018-10-01","38"
"2018-10-02","55"
"2018-10-03","37"
"2018-10-04","59"
"2018-10-05","27"
"2018-10-06","18"
"2018-10-07","16"
"2018-10-08","41"
"2018-10-09","38"
"2018-10-10","52"
"2018-10-11","37"
"2018-10-12","21"
"2018-10-13","49"
"2018-10-14","22"
"2018-10-15","55"
"2018-10-16","42"
"2018-10-17","38"
"2018-10-18","31"
"2018-10-19","31"
"2018-10-20","25"
"2018-10-21","15"
"2018-10-22","21"
"2018-10-23","45"
"2018-10-24","39"
"2018-10-25","38"
"2018-10-26","33"
"2018-10-27","13"
"2018-10-28","13"
"2018-10-29","42"
"2018-10-30","30"
"2018-10-31","33"
"2018-11-01","34"
"2018-11-02","20"
"2018-11-03","19"
"2018-11-04","18"
"2018-11-05","45"
"2018-11-06","46"
"2018-11-07","0"
"2018-11-08","0"
