"market","total_downloads"
"Portland / Auburn",352
"New York",22561
"Binghamton",115
"Macon",90
"Philadelphia",6185
"Detroit",2168
"Boston MA / Manchester",4759
"Savannah",266
"Pittsburgh",1633
"Ft. Wayne",46
"Cleveland / Akron (Canton)",1055
"Washington DC (Hagerstown)",19774
"Baltimore",2543
"Flint / Saginaw / Bay City",207
"Buffalo",571
"Cincinnati",840
"Erie",5
"Charlotte",2336
"Greensboro / High Point / Winston Salem",625
"Charleston",86
"Augusta",62
"Providence RI / New Bedford",615
"Columbus",106
"Burlington VT / Plattsburgh",581
"Atlanta",4677
"Albany",84
"Utica",103
"Indianapolis",994
"Miami / Ft. Lauderdale",4191
"Louisville",664
"Tallahassee FL / Thomasville",81
"Tri-Cities TN",96
"Albany / Schenectady / Troy",460
"Hartford & New Haven",2049
"Orlando / Daytona Beach / Melbourne",1829
"Columbus",819
"Youngstown",523
"Bangor",70
"Rochester",445
"Tampa / St. Petersburg (Sarasota)",2367
"Traverse City / Cadillac",85
"Lexington",236
"Dayton",289
"Springfield / Holyoke",335
"Norfolk / Portsmouth / Newport News",574
"Greenville / New Bern / Washington",45
"Columbia",351
"Toledo",375
"West Palm Beach / Ft. Pierce",1095
"Watertown",86
"Wilmington",313
"Lansing",203
"Presque Isle",4
"Marquette",44
"Wheeling WV / Steubenville",8
"Syracuse",311
"Richmond / Petersburg",652
"Knoxville",342
"Lima",2
"Bluefield / Beckley / Oak Hill",27
"Raleigh / Durham (Fayetteville)",4162
"Jacksonville",941
"Grand Rapids / Kalamazoo / Battle Creek",463
"Charleston / Huntington",41
"Elmira",8
"Harrisburg / Lancaster / Lebanon / York",590
"Greenville / Spartanburg SC / Asheville NC / Anderson",679
"Harrisonburg",44
"Florence / Myrtle Beach",141
"Ft. Myers / Naples",451
"Roanoke / Lynchburg",270
"Johnstown / Altoona",409
"Chattanooga",245
"Salisbury",1210
"Wilkes Barre / Scranton",235
"Terre Haute",20
"Lafayette",22
"Charlottesville",88
"South Bend / Elkhart",195
"Gainesville",79
"Zanesville",3
"Parkersburg",20
"Clarksburg / Weston",51
"Corpus Christi",53
"Chicago",7327
"Joplin MO / Pittsburg",14
"Columbia / Jefferson City",65
"Topeka",108
"Dothan",20
"St. Louis",1325
"Rockford",126
"Rochester MN / Mason City IA / Austin",121
"Shreveport",218
"Minneapolis / St. Paul",2855
"Kansas City",1443
"Milwaukee",879
"Houston",3770
"Springfield",312
"New Orleans",947
"Dallas / Ft. Worth",6760
"Sioux City",23
"Waco / Temple / Bryan",3055
"Victoria",2
"Wichita Falls TX & Lawton",8
"Monroe LA / El Dorado",36
"Birmingham",600
"Ottumwa IA / Kirksville",2
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",202
"Odessa / Midland",196
"Amarillo",90
"Austin",4311
"Harlingen / Weslaco / Brownsville / McAllen",16
"Cedar Rapids / Waterloo / Iowa City & Dubuque",764
"St. Joseph",18
"Jackson",83
"Memphis",572
"San Antonio",644
"Lafayette",31
"Lake Charles",4
"Alexandria",20
"Champaign & Springfield / Decatur",157
"Evansville",35
"Oklahoma City",636
"Lubbock",367
"Omaha",603
"Panama City",26
"Sherman TX / Ada",10
"Green Bay / Appleton",201
"Nashville",1599
"San Angelo",199
"Abilene / Sweetwater",23
"Madison",1431
"Ft. Smith / Fayetteville / Springdale / Rogers",166
"Tulsa",117
"Columbus / Tupelo / West Point",18
"Peoria / Bloomington",143
"Duluth MN / Superior",48
"Wichita / Hutchinson",283
"Des Moines / Ames",315
"Davenport IA / Rock Island / Moline",114
"Mobile AL / Pensacola (Ft. Walton Beach)",408
"Minot / Bismarck / Dickinson(Williston)",127
"Huntsville / Decatur (Florence)",301
"Beaumont / Port Arthur",25
"Little Rock / Pine Bluff",355
"Montgomery (Selma)",151
"La Crosse / Eau Claire",221
"Wausau / Rhinelander",41
"Tyler / Longview(Lufkin & Nacogdoches)",201
"Hattiesburg / Laurel",84
"Baton Rouge",307
"Quincy IL / Hannibal MO / Keokuk",3
"Jackson",246
"Lincoln & Hastings / Kearney",296
"Fargo / Valley City",40
"Sioux Falls(Mitchell)",258
"Jonesboro",15
"Bowling Green",52
"Mankato",14
"North Platte",2
"Anchorage",239
"Honolulu",928
"Fairbanks",11
"Biloxi / Gulfport",374
"Juneau",78
"Laredo",9
"Denver",5491
"Colorado Springs / Pueblo",264
"Phoenix",2752
"Butte / Bozeman",195
"Great Falls",72
"Billings",240
"Boise",251
"Idaho Falls / Pocatello",92
"Cheyenne WY / Scottsbluff",61
"Twin Falls",48
"Missoula",128
"Rapid City",5
"El Paso",49
"Helena",1
"Casper / Riverton",5
"Salt Lake City",2439
"Yuma AZ / El Centro",5
"Grand Junction / Montrose",56
"Tucson (Sierra Vista)",210
"Albuquerque / Santa Fe",510
"Bakersfield",240
"Eugene",416
"Eureka",19
"Los Angeles",18292
"Palm Springs",198
"San Francisco / Oakland / San Jose",23661
"Yakima / Pasco / Richland / Kennewick",779
"Reno",230
"Medford / Klamath Falls",104
"Seattle / Tacoma",7690
"Portland",2817
"Bend",329
"San Diego",3371
"Monterey / Salinas",1536
"Las Vegas",2438
"Santa Barbara / Santa Maria / San Luis Obispo",640
"Sacramento / Stockton / Modesto",2589
"Fresno / Visalia",134
"Chico / Redding",77
"Spokane",560
