"item_title","release_date","downloads__january","downloads__december","downloads__november","downloads__total"
"TBP107 - Like Father, Like Son","2016-12-31 23:30:19",437,1,0,438
"TBP106 - A Very Bitcoin Christmas","2016-12-25 03:48:17",23,1412,0,1435
"On-Ramping with Dee: Episode #1","2016-12-22 15:30:53",4,810,0,814
"TBP105 - Music Industry 2.0","2016-12-18 05:39:44",3,1413,0,1416
"TBP104 - Currency to a Wider Public","2016-12-11 16:45:40",8,1614,0,1622
"TBP103 - A Jack of All Trades","2016-12-04 04:32:53",3,1347,0,1350
"BlockChannel Episode 3: Zero Knowledge, the Future of Privacy","2016-12-01 03:57:34",8,1155,0,1163
"TBP102 - Building Bridges Initiative","2016-11-30 00:54:52",3,847,550,1400
"TBP101 - World's First Supernode Infrastructure","2016-11-27 00:00:57",2,216,849,1067
"TBP100 - Thai Gone Wild","2016-11-19 17:18:43",1,419,1631,2051
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",1,167,1591,1759
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",0,108,867,975
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",0,79,876,955
"TBP97 - Hype or Hope","2016-11-06 00:57:36",1,292,1474,1767
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",0,46,388,952
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",0,38,655,1296
"TBP95 - The JOBS Act","2016-10-27 00:09:26",1,43,227,1259
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",0,58,202,2066
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",1,64,434,3314
"TBP92 - Myceliated","2016-10-09 04:31:18",1,28,84,1532
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",0,32,47,1308
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",1,239,272,1653
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",2,20,58,1129
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",4,36,33,1157
"TBP87 - The World is YOURS","2016-09-18 15:16:48",1,46,45,1550
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",0,28,44,1188
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",2,18,48,1096
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",0,19,29,1256
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",0,23,43,1668
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",1,28,51,1484
"TBP81 - Redefining Trust","2016-08-21 00:51:47",3,29,34,1427
"TBP80 - A Means to an End","2016-08-13 21:30:49",0,10,16,1276
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",0,24,67,2268
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",0,14,21,1602
"TBP77 - Collective Governance","2016-08-01 02:13:02",1,198,229,2122
"TBP76 - Skynet","2016-07-31 13:56:37",1,232,246,2217
"TBP75 - Attention Economy","2016-07-23 14:57:17",0,24,25,1644
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",0,13,17,1155
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",0,15,17,1436
"TBP72 - The Broader Economy","2016-07-11 13:33:58",1,23,24,3200
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",0,36,41,1648
"TBP70 - Whitehat","2016-07-03 16:51:42",0,14,10,1390
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",0,33,33,1112
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",0,21,19,1936
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",0,13,9,1432
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",0,12,11,1227
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",0,10,13,1216
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",0,8,15,1243
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",0,9,13,1131
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",0,6,10,1112
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",0,8,10,859
"TBP60 - Release the Kraken","2016-05-23 03:32:09",0,10,23,2027
"TBP59 - Incredible India","2016-05-16 15:40:00",0,8,18,979
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",0,17,20,1679
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",0,8,9,1965
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",0,20,18,837
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",0,12,13,1078
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",0,9,10,673
"TBP53 - Tough Math","2016-04-17 16:24:01",0,10,12,1194
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",0,9,10,665
"TBP51 - Such Wow","2016-04-10 17:09:46",0,11,10,659
