"region","total_downloads"
", United States",6290
"Armed Forces Europe, Middle East, & Canada, United States",32
"Alaska, United States",142
"Alabama, United States",839
"Armed Forces Pacific, United States",13
"Arkansas, United States",306
"Arizona, United States",1662
"California, United States",30682
"Colorado, United States",3819
"Connecticut, United States",1536
"District of Columbia, United States",1584
"Delaware, United States",1298
"Florida, United States",5379
"Georgia, United States",3250
"Hawaii, United States",526
"Iowa, United States",677
"Idaho, United States",371
"Illinois, United States",5599
"Indiana, United States",968
"Kansas, United States",933
"Kentucky, United States",694
"Louisiana, United States",883
"Massachusetts, United States",2489
"Maryland, United States",3131
"Maine, United States",234
"Michigan, United States",2023
"Minnesota, United States",1506
"Missouri, United States",1380
"Mississippi, United States",268
"Montana, United States",553
"North Carolina, United States",4424
"North Dakota, United States",55
"Nebraska, United States",385
"New Hampshire, United States",306
"New Jersey, United States",4627
"New Mexico, United States",331
"Nevada, United States",1482
"New York, United States",8660
"Ohio, United States",2436
"Oklahoma, United States",617
"Oregon, United States",2807
"Pennsylvania, United States",3976
"Rhode Island, United States",258
"South Carolina, United States",765
"South Dakota, United States",253
"Tennessee, United States",1545
"Texas, United States",13081
"Utah, United States",1262
"Virginia, United States",11944
"Vermont, United States",134
"Washington, United States",5389
"Wisconsin, United States",1519
"West Virginia, United States",106
"Wyoming, United States",43
