"Date","Downloads"
"2018-11-19","3233"
"2018-11-20","3580"
"2018-11-21","3516"
"2018-11-22","3700"
"2018-11-23","2140"
"2018-11-24","1390"
"2018-11-25","2428"
"2018-11-26","2786"
"2018-11-27","1445"
"2018-11-28","2632"
"2018-11-29","2774"
"2018-11-30","4249"
"2018-12-01","3889"
"2018-12-02","3004"
"2018-12-03","2212"
"2018-12-04","2547"
"2018-12-05","2973"
"2018-12-06","1633"
"2018-12-07","2007"
"2018-12-08","2643"
"2018-12-09","3281"
"2018-12-10","3327"
"2018-12-11","2504"
"2018-12-12","1135"
"2018-12-13","581"
"2018-12-14","2263"
"2018-12-15","4305"
"2018-12-16","4347"
"2018-12-17","3431"
"2018-12-18","2225"
"2018-12-19","3791"
"2018-12-20","2052"
"2018-12-21","1256"
"2018-12-22","1342"
"2018-12-23","3410"
"2018-12-24","1926"
"2018-12-25","917"
"2018-12-26","1010"
"2018-12-27","1658"
"2018-12-28","1039"
"2018-12-29","2042"
"2018-12-30","3341"
"2018-12-31","1436"
"2019-01-01","1705"
"2019-01-02","777"
"2019-01-03","1162"
"2019-01-04","2560"
"2019-01-05","1431"
"2019-01-06","2370"
"2019-01-07","1987"
"2019-01-08","1608"
"2019-01-09","2846"
"2019-01-10","1751"
"2019-01-11","996"
"2019-01-12","859"
"2019-01-13","1921"
"2019-01-14","1945"
"2019-01-15","2432"
"2019-01-16","2772"
"2019-01-17","2154"
"2019-01-18","2969"
"2019-01-19","1777"
"2019-01-20","2912"
"2019-01-21","4196"
"2019-01-22","2398"
"2019-01-23","2271"
"2019-01-24","1661"
"2019-01-25","2380"
"2019-01-26","1157"
"2019-01-27","2270"
"2019-01-28","3598"
"2019-01-29","3207"
"2019-01-30","2711"
"2019-01-31","1996"
"2019-02-01","1391"
"2019-02-02","2476"
"2019-02-03","2004"
"2019-02-04","3518"
"2019-02-05","3384"
"2019-02-06","2658"
"2019-02-07","2040"
"2019-02-08","3342"
"2019-02-09","1374"
"2019-02-10","2327"
"2019-02-11","1921"
"2019-02-12","18238"
"2019-02-13","26793"
"2019-02-14","1643"
"2019-02-15","702"
"2019-02-16","65"
"2019-02-17","83"
