"region","total_downloads"
", United States",4567
"Armed Forces Europe, Middle East, & Canada, United States",12
"Alaska, United States",121
"Alabama, United States",334
"Armed Forces Pacific, United States",3
"Arkansas, United States",180
"Arizona, United States",1135
"California, United States",17926
"Colorado, United States",2530
"Connecticut, United States",829
"District of Columbia, United States",1031
"Delaware, United States",1100
"Florida, United States",3515
"Georgia, United States",1985
"Hawaii, United States",307
"Iowa, United States",467
"Idaho, United States",151
"Illinois, United States",3531
"Indiana, United States",658
"Kansas, United States",782
"Kentucky, United States",470
"Louisiana, United States",394
"Massachusetts, United States",1479
"Maryland, United States",1757
"Maine, United States",93
"Michigan, United States",1211
"Minnesota, United States",830
"Missouri, United States",902
"Mississippi, United States",178
"Montana, United States",446
"North Carolina, United States",1471
"North Dakota, United States",38
"Nebraska, United States",200
"New Hampshire, United States",240
"New Jersey, United States",2725
"New Mexico, United States",221
"Nevada, United States",798
"New York, United States",4956
"Ohio, United States",1423
"Oklahoma, United States",469
"Oregon, United States",1657
"Pennsylvania, United States",2361
"Rhode Island, United States",165
"South Carolina, United States",464
"South Dakota, United States",208
"Tennessee, United States",701
"Texas, United States",8861
"Utah, United States",756
"Virginia, United States",6265
"Vermont, United States",91
"Washington, United States",3501
"Wisconsin, United States",1040
"West Virginia, United States",74
"Wyoming, United States",32
