"item_title","release_date","downloads__october","downloads__september","downloads__august","downloads__total"
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",592,0,0,592
"TBP92 - Myceliated","2016-10-09 04:31:18",1202,0,0,1202
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",1108,0,0,1108
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",312,721,0,1033
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",166,805,0,971
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",82,940,0,1022
"TBP87 - The World is YOURS","2016-09-18 15:16:48",75,1331,0,1406
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",70,1014,0,1084
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",36,966,0,1002
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",20,1163,0,1183
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",86,1454,4,1544
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",41,317,1011,1369
"TBP81 - Redefining Trust","2016-08-21 00:51:47",25,180,1123,1328
"TBP80 - A Means to an End","2016-08-13 21:30:49",15,115,1094,1224
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",40,121,1981,2142
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",14,85,1441,1540
"TBP77 - Collective Governance","2016-08-01 02:13:02",43,117,1519,1679
"TBP76 - Skynet","2016-07-31 13:56:37",36,98,1192,1718
"TBP75 - Attention Economy","2016-07-23 14:57:17",17,69,285,1577
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",14,67,111,1113
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",11,32,90,1395
"TBP72 - The Broader Economy","2016-07-11 13:33:58",31,79,293,3132
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",31,65,71,1555
"TBP70 - Whitehat","2016-07-03 16:51:42",8,47,48,1360
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",10,46,51,1043
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",8,29,74,1886
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",8,30,25,1408
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",12,24,22,1200
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",20,26,25,1186
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",14,22,18,1206
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",10,23,16,1101
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",8,12,18,1089
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",11,21,15,837
"TBP60 - Release the Kraken","2016-05-23 03:32:09",51,53,27,1985
"TBP59 - Incredible India","2016-05-16 15:40:00",12,20,26,946
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",9,38,30,1628
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",10,27,23,1942
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",7,11,20,792
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",10,14,69,1044
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",7,7,12,649
"TBP53 - Tough Math","2016-04-17 16:24:01",10,12,25,1166
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",11,9,18,642
"TBP51 - Such Wow","2016-04-10 17:09:46",9,11,19,634
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",9,8,18,802
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",12,46,12,862
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",6,9,15,668
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",8,6,26,575
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",8,8,28,844
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",10,6,13,672
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",9,9,11,614
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",11,9,16,658
"TBP42 - True Micropayments","2016-02-21 23:13:15",11,14,14,807
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",8,8,15,607
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",19,12,13,1246
