"state","requests"
"Alaska","37"
"Alabama","66"
"Arkansas","75"
"Arizona","235"
"California","3651"
"Colorado","443"
"Connecticut","157"
"District of Columbia","193"
"Delaware","10"
"Florida","891"
"Georgia","506"
"Hawaii","109"
"Iowa","37"
"Idaho","119"
"Illinois","799"
"Indiana","170"
"Kansas","72"
"Kentucky","78"
"Louisiana","57"
"Massachusetts","468"
"Maryland","296"
"Maine","6"
"Michigan","291"
"Minnesota","205"
"Missouri","155"
"Mississippi","66"
"Montana","28"
"North Carolina","388"
"North Dakota","17"
"Nebraska","90"
"New Hampshire","40"
"New Jersey","629"
"New Mexico","18"
"Armed Forces Europe Middle East & Canada","34"
"Nevada","186"
"New York","1302"
"Ohio","274"
"Oklahoma","76"
"Oregon","327"
"Pennsylvania","428"
"Rhode Island","59"
"South Carolina","56"
"South Dakota","9"
"Tennessee","146"
"Texas","1706"
"Utah","211"
"Virginia","380"
"Vermont","27"
"Washington","731"
"Wisconsin","197"
"West Virginia","13"
"Wyoming","33"
