"region","total_downloads"
", United States",6142
"Armed Forces Europe, Middle East, & Canada, United States",28
"Alaska, United States",129
"Alabama, United States",786
"Armed Forces Pacific, United States",12
"Arkansas, United States",290
"Arizona, United States",1588
"California, United States",29163
"Colorado, United States",3561
"Connecticut, United States",1473
"District of Columbia, United States",1531
"Delaware, United States",1281
"Florida, United States",5100
"Georgia, United States",3096
"Hawaii, United States",509
"Iowa, United States",634
"Idaho, United States",351
"Illinois, United States",5383
"Indiana, United States",938
"Kansas, United States",929
"Kentucky, United States",677
"Louisiana, United States",806
"Massachusetts, United States",2383
"Maryland, United States",3011
"Maine, United States",226
"Michigan, United States",1940
"Minnesota, United States",1460
"Missouri, United States",1344
"Mississippi, United States",249
"Montana, United States",552
"North Carolina, United States",4013
"North Dakota, United States",53
"Nebraska, United States",357
"New Hampshire, United States",293
"New Jersey, United States",4475
"New Mexico, United States",327
"Nevada, United States",1380
"New York, United States",8189
"Ohio, United States",2370
"Oklahoma, United States",612
"Oregon, United States",2652
"Pennsylvania, United States",3772
"Rhode Island, United States",241
"South Carolina, United States",748
"South Dakota, United States",251
"Tennessee, United States",1493
"Texas, United States",12554
"Utah, United States",1232
"Virginia, United States",11814
"Vermont, United States",127
"Washington, United States",5199
"Wisconsin, United States",1468
"West Virginia, United States",101
"Wyoming, United States",42
