"market","total_downloads"
"Portland / Auburn",107
"New York",7718
"Binghamton",96
"Macon",42
"Philadelphia",2735
"Detroit",992
"Boston MA / Manchester",1837
"Savannah",83
"Pittsburgh",546
"Ft. Wayne",39
"Cleveland / Akron (Canton)",435
"Washington DC (Hagerstown)",12219
"Baltimore",936
"Flint / Saginaw / Bay City",49
"Buffalo",208
"Cincinnati",310
"Charlotte",745
"Greensboro / High Point / Winston Salem",320
"Charleston",26
"Augusta",19
"Providence RI / New Bedford",217
"Columbus",25
"Burlington VT / Plattsburgh",122
"Atlanta",1981
"Albany",22
"Utica",54
"Indianapolis",426
"Miami / Ft. Lauderdale",1284
"Louisville",301
"Tallahassee FL / Thomasville",15
"Tri-Cities TN",13
"Albany / Schenectady / Troy",267
"Hartford & New Haven",852
"Orlando / Daytona Beach / Melbourne",646
"Columbus",215
"Youngstown",452
"Bangor",59
"Rochester",147
"Tampa / St. Petersburg (Sarasota)",629
"Traverse City / Cadillac",26
"Lexington",112
"Dayton",226
"Springfield / Holyoke",144
"Norfolk / Portsmouth / Newport News",147
"Greenville / New Bern / Washington",12
"Columbia",184
"Toledo",122
"West Palm Beach / Ft. Pierce",551
"Watertown",23
"Wilmington",68
"Lansing",98
"Presque Isle",4
"Marquette",40
"Wheeling WV / Steubenville",1
"Syracuse",148
"Richmond / Petersburg",307
"Knoxville",101
"Raleigh / Durham (Fayetteville)",1489
"Jacksonville",504
"Grand Rapids / Kalamazoo / Battle Creek",144
"Charleston / Huntington",22
"Elmira",5
"Harrisburg / Lancaster / Lebanon / York",287
"Greenville / Spartanburg SC / Asheville NC / Anderson",295
"Harrisonburg",25
"Florence / Myrtle Beach",78
"Ft. Myers / Naples",180
"Roanoke / Lynchburg",94
"Johnstown / Altoona",310
"Chattanooga",53
"Salisbury",949
"Wilkes Barre / Scranton",101
"Terre Haute",16
"Lafayette",15
"Charlottesville",36
"South Bend / Elkhart",87
"Gainesville",11
"Zanesville",2
"Parkersburg",1
"Clarksburg / Weston",48
"Corpus Christi",48
"Chicago",3430
"Joplin MO / Pittsburg",2
"Columbia / Jefferson City",17
"Topeka",44
"St. Louis",526
"Rockford",101
"Rochester MN / Mason City IA / Austin",9
"Shreveport",52
"Minneapolis / St. Paul",1050
"Kansas City",1062
"Milwaukee",286
"Houston",1316
"Springfield",118
"New Orleans",322
"Dallas / Ft. Worth",2470
"Sioux City",17
"Waco / Temple / Bryan",2363
"Victoria",2
"Wichita Falls TX & Lawton",3
"Birmingham",240
"Ottumwa IA / Kirksville",2
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",99
"Odessa / Midland",92
"Amarillo",22
"Austin",1916
"Harlingen / Weslaco / Brownsville / McAllen",9
"Cedar Rapids / Waterloo / Iowa City & Dubuque",378
"St. Joseph",11
"Jackson",50
"Memphis",267
"San Antonio",377
"Lafayette",17
"Alexandria",17
"Champaign & Springfield / Decatur",80
"Evansville",22
"Oklahoma City",419
"Lubbock",212
"Omaha",182
"Panama City",4
"Sherman TX / Ada",8
"Green Bay / Appleton",66
"Nashville",486
"San Angelo",144
"Abilene / Sweetwater",19
"Madison",740
"Ft. Smith / Fayetteville / Springdale / Rogers",31
"Tulsa",89
"Columbus / Tupelo / West Point",6
"Peoria / Bloomington",110
"Duluth MN / Superior",17
"Wichita / Hutchinson",109
"Des Moines / Ames",95
"Davenport IA / Rock Island / Moline",69
"Mobile AL / Pensacola (Ft. Walton Beach)",121
"Minot / Bismarck / Dickinson(Williston)",35
"Huntsville / Decatur (Florence)",155
"Beaumont / Port Arthur",6
"Little Rock / Pine Bluff",158
"Montgomery (Selma)",31
"La Crosse / Eau Claire",80
"Wausau / Rhinelander",30
"Tyler / Longview(Lufkin & Nacogdoches)",27
"Hattiesburg / Laurel",8
"Baton Rouge",38
"Quincy IL / Hannibal MO / Keokuk",1
"Jackson",113
"Lincoln & Hastings / Kearney",110
"Fargo / Valley City",20
"Sioux Falls(Mitchell)",221
"Bowling Green",44
"Mankato",11
"North Platte",2
"Anchorage",88
"Honolulu",378
"Fairbanks",1
"Biloxi / Gulfport",9
"Juneau",32
"Laredo",8
"Denver",2842
"Colorado Springs / Pueblo",69
"Phoenix",1183
"Butte / Bozeman",127
"Great Falls",26
"Billings",204
"Boise",105
"Idaho Falls / Pocatello",8
"Cheyenne WY / Scottsbluff",24
"Twin Falls",35
"Missoula",113
"Rapid City",5
"El Paso",28
"Helena",1
"Casper / Riverton",1
"Salt Lake City",913
"Grand Junction / Montrose",15
"Tucson (Sierra Vista)",38
"Albuquerque / Santa Fe",209
"Bakersfield",156
"Eugene",157
"Eureka",5
"Los Angeles",7277
"Palm Springs",40
"San Francisco / Oakland / San Jose",10626
"Yakima / Pasco / Richland / Kennewick",591
"Reno",69
"Medford / Klamath Falls",24
"Seattle / Tacoma",3638
"Portland",1117
"Bend",222
"San Diego",1142
"Monterey / Salinas",667
"Las Vegas",1009
"Santa Barbara / Santa Maria / San Luis Obispo",94
"Sacramento / Stockton / Modesto",1094
"Fresno / Visalia",36
"Chico / Redding",15
"Spokane",219
