"region","total_downloads"
", United States",6528
"Armed Forces Europe, Middle East, & Canada, United States",39
"Alaska, United States",159
"Alabama, United States",909
"Armed Forces Pacific, United States",13
"Arkansas, United States",331
"Arizona, United States",1914
"California, United States",33646
"Colorado, United States",4039
"Connecticut, United States",1692
"District of Columbia, United States",1666
"Delaware, United States",1346
"Florida, United States",5844
"Georgia, United States",3544
"Hawaii, United States",574
"Iowa, United States",734
"Idaho, United States",437
"Illinois, United States",6006
"Indiana, United States",1044
"Kansas, United States",967
"Kentucky, United States",747
"Louisiana, United States",969
"Massachusetts, United States",2756
"Maryland, United States",3383
"Maine, United States",272
"Michigan, United States",2147
"Minnesota, United States",1660
"Missouri, United States",1452
"Mississippi, United States",315
"Montana, United States",555
"North Carolina, United States",4825
"North Dakota, United States",75
"Nebraska, United States",460
"New Hampshire, United States",324
"New Jersey, United States",5051
"New Mexico, United States",383
"Nevada, United States",1624
"New York, United States",9514
"Ohio, United States",2544
"Oklahoma, United States",632
"Oregon, United States",2979
"Pennsylvania, United States",4291
"Rhode Island, United States",282
"South Carolina, United States",822
"South Dakota, United States",256
"Tennessee, United States",1731
"Texas, United States",14115
"Utah, United States",1344
"Virginia, United States",12300
"Vermont, United States",154
"Washington, United States",5744
"Wisconsin, United States",1636
"West Virginia, United States",116
"Wyoming, United States",44
