"item_title","release_date","downloads__march","downloads__february","downloads__january","downloads__total"
"TBP120 - The Token Protocol","2017-03-25 20:31:45",577,0,0,577
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",1459,0,0,1459
"TBP119 - Shorting the Bull Rally II","2017-03-20 00:28:59",1316,0,0,1316
"BlockChannel Episode 14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir","2017-03-18 19:23:52",1253,0,0,1253
"TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto","2017-03-12 00:58:57",1981,0,0,1981
"Episode #7: On-Ramping with Dee","2017-03-10 15:53:59",1075,0,0,1075
"BlockChannel Episode 13: Decentralized Web Browsing, with Blockstack","2017-03-07 02:41:19",1371,0,0,1371
"TBP117 - Venturing Into the Web3","2017-03-05 03:04:22",1560,0,0,1560
"TBP116 - Building the Iron Man Suit","2017-02-26 17:50:26",958,990,0,1948
"BlockChannel Episode 12: In Ethereum, WeTrust","2017-02-22 00:20:08",631,1236,0,1867
"Episode #6: On-Ramping with Dee","2017-02-20 17:00:38",301,1020,0,1321
"BlockChannel Episode 11: Bridging Ethereum and Media with Jaak.io","2017-02-20 01:45:27",214,778,0,992
"TBP115 - This Week in Ethereum","2017-02-18 20:58:23",290,1268,0,1558
"BlockChannel Episode 10: A Bitcoin Venture Outside the Great Wall","2017-02-17 15:25:32",159,961,0,1120
"TBP114 - Life After Trezor","2017-02-12 06:32:10",276,1889,0,2165
"BlockChannel Episode 9: Getting Gamers on Ethereum with FirstBlood","2017-02-08 03:17:23",175,1200,0,1375
"TBP113 - Innovators' Lab","2017-02-05 06:01:34",230,1584,0,1814
"Episode #5: On-Ramping with Dee","2017-02-03 22:54:38",202,1243,0,1445
"BlockChannel Episode 8: Hit or Stay, a Bet on 21.co","2017-02-02 16:14:25",181,1032,0,1213
"BlockChannel Episode 7: Meet Your Maker, Ethereum","2017-02-02 03:17:22",145,1218,0,1363
"TBP112 - The Broader Economy II","2017-01-28 22:29:43",244,1025,1505,2774
"BlockChannel Episode 6: Gnosis, and the Power of the Crowd","2017-01-26 13:57:43",113,260,953,1326
"Episode #4: On-Ramping with Dee","2017-01-25 15:07:23",121,381,917,1419
"TBP111 - Disrupting Global Commerce","2017-01-22 20:04:14",105,441,1358,1904
"TBP110 - The Technological Revolution","2017-01-15 04:15:37",81,227,1842,2150
"BlockChannel Episode 5: Taking One for the Team","2017-01-11 22:36:32",78,122,1089,1289
"TBP109 - The Human Influence","2017-01-08 03:14:21",59,183,1503,1745
"Episode #3: On-Ramping with Dee","2017-01-07 19:15:13",70,167,837,1074
"TBP108 - Ether Camp","2017-01-04 15:48:27",72,141,1039,1252
"On-Ramping with Dee: Episode #2","2017-01-03 00:30:17",80,119,1006,1205
"BlockChannel Episode 4: Predicting the Future, with Augur","2017-01-02 21:39:49",73,99,987,1159
"TBP107 - Like Father, Like Son","2016-12-31 23:30:19",54,80,1187,1322
"TBP106 - A Very Bitcoin Christmas","2016-12-25 03:48:17",54,80,299,1845
"On-Ramping with Dee: Episode #1","2016-12-22 15:30:53",91,138,248,1287
"TBP105 - Music Industry 2.0","2016-12-18 05:39:44",62,74,168,1717
"TBP104 - Currency to a Wider Public","2016-12-11 16:45:40",60,117,172,1963
"TBP103 - A Jack of All Trades","2016-12-04 04:32:53",25,40,69,1481
"BlockChannel Episode 3: Zero Knowledge, the Future of Privacy","2016-12-01 03:57:34",64,94,163,1476
"TBP102 - Building Bridges Initiative","2016-11-30 00:54:52",90,78,124,1689
"TBP101 - World's First Supernode Infrastructure","2016-11-27 00:00:57",54,24,62,1205
"TBP100 - Thai Gone Wild","2016-11-19 17:18:43",45,78,120,2293
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",82,45,83,1968
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",21,17,42,1055
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",10,12,29,1006
"TBP97 - Hype or Hope","2016-11-06 00:57:36",48,63,90,1967
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",62,49,42,1105
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",16,12,25,1349
"TBP95 - The JOBS Act","2016-10-27 00:09:26",14,44,45,1361
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",24,11,49,2150
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",22,23,30,3388
"TBP92 - Myceliated","2016-10-09 04:31:18",11,11,20,1573
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",10,9,19,1346
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",40,55,84,1831
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",8,27,24,1186
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",41,7,25,1226
"TBP87 - The World is YOURS","2016-09-18 15:16:48",10,10,28,1597
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",11,15,22,1236
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",8,7,19,1128
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",10,8,16,1290
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",16,7,19,1710
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",34,13,25,1555
"TBP81 - Redefining Trust","2016-08-21 00:51:47",9,7,14,1454
"TBP80 - A Means to an End","2016-08-13 21:30:49",12,5,14,1307
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",13,18,25,2324
