"region","total_downloads"
", United States",6710
"Armed Forces Europe, Middle East, & Canada, United States",65
"Alaska, United States",161
"Alabama, United States",952
"Armed Forces Pacific, United States",13
"Arkansas, United States",344
"Arizona, United States",1962
"California, United States",35294
"Colorado, United States",4214
"Connecticut, United States",1775
"District of Columbia, United States",1735
"Delaware, United States",1374
"Florida, United States",6226
"Georgia, United States",3721
"Hawaii, United States",596
"Iowa, United States",761
"Idaho, United States",454
"Illinois, United States",6212
"Indiana, United States",1071
"Kansas, United States",994
"Kentucky, United States",755
"Louisiana, United States",997
"Massachusetts, United States",2920
"Maryland, United States",3518
"Maine, United States",293
"Michigan, United States",2277
"Minnesota, United States",1722
"Missouri, United States",1562
"Mississippi, United States",336
"Montana, United States",558
"North Carolina, United States",5029
"North Dakota, United States",77
"Nebraska, United States",483
"New Hampshire, United States",349
"New Jersey, United States",5325
"New Mexico, United States",390
"Nevada, United States",1729
"New York, United States",10352
"Ohio, United States",2624
"Oklahoma, United States",645
"Oregon, United States",3090
"Pennsylvania, United States",4509
"Rhode Island, United States",298
"South Carolina, United States",853
"South Dakota, United States",256
"Tennessee, United States",1873
"Texas, United States",14823
"Utah, United States",1391
"Virginia, United States",12474
"Vermont, United States",161
"Washington, United States",5966
"Wisconsin, United States",1687
"West Virginia, United States",124
"Wyoming, United States",45
