"region","total_downloads"
", United States",9597
"Armed Forces Europe, Middle East, & Canada, United States",162
"Alaska, United States",633
"Alabama, United States",2323
"Armed Forces Pacific, United States",122
"Arkansas, United States",1005
"Arizona, United States",5222
"California, United States",83342
"Colorado, United States",8811
"Connecticut, United States",4154
"District of Columbia, United States",3387
"Delaware, United States",1985
"Florida, United States",17205
"Georgia, United States",9188
"Hawaii, United States",1611
"Iowa, United States",1876
"Idaho, United States",1199
"Illinois, United States",14642
"Indiana, United States",2587
"Kansas, United States",1920
"Kentucky, United States",1484
"Louisiana, United States",2405
"Massachusetts, United States",8587
"Maryland, United States",8819
"Maine, United States",475
"Michigan, United States",5511
"Minnesota, United States",4717
"Missouri, United States",3540
"Mississippi, United States",1160
"Montana, United States",732
"North Carolina, United States",11668
"North Dakota, United States",367
"Nebraska, United States",1328
"New Hampshire, United States",1013
"New Jersey, United States",12088
"New Mexico, United States",861
"Nevada, United States",4400
"New York, United States",30207
"Ohio, United States",6799
"Oklahoma, United States",1580
"Oregon, United States",6425
"Pennsylvania, United States",10349
"Rhode Island, United States",1154
"South Carolina, United States",2030
"South Dakota, United States",329
"Tennessee, United States",4362
"Texas, United States",33706
"Utah, United States",3894
"Virginia, United States",19064
"Vermont, United States",596
"Washington, United States",13487
"Wisconsin, United States",3987
"West Virginia, United States",281
"Wyoming, United States",123
