"region","requests"
"Alaska","37"
"Alabama","104"
"Arkansas","24"
"Arizona","405"
"California","5037"
"Colorado","621"
"Connecticut","239"
"District of Columbia","118"
"Delaware","20"
"Florida","986"
"Georgia","496"
"Hawaii","130"
"Iowa","87"
"Idaho","91"
"Illinois","1197"
"Indiana","252"
"Kansas","132"
"Kentucky","93"
"Louisiana","238"
"Massachusetts","504"
"Maryland","654"
"Maine","28"
"Michigan","302"
"Minnesota","454"
"Missouri","585"
"Mississippi","53"
"Montana","18"
"North Carolina","582"
"North Dakota","32"
"Nebraska","70"
"New Hampshire","85"
"New Jersey","735"
"New Mexico","39"
"Armed Forces Europe Middle East & Canada","33"
"Nevada","221"
"New York","1853"
"Ohio","491"
"Oklahoma","104"
"Oregon","353"
"Pennsylvania","487"
"Rhode Island","70"
"South Carolina","157"
"South Dakota","10"
"Tennessee","218"
"Texas","1640"
"Utah","199"
"Virginia","424"
"Vermont","21"
"Washington","789"
"Wisconsin","301"
"West Virginia","34"
"Wyoming","1"
