"item_title","release_date","downloads__june","downloads__may","downloads__april","downloads__total"
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",35,0,0,35
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",816,0,0,816
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",883,0,0,883
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",461,490,0,951
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",118,584,0,702
"TBP60 - Release the Kraken","2016-05-23 03:32:09",120,1513,0,1633
"TBP59 - Incredible India","2016-05-16 15:40:00",49,755,0,804
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",44,1417,0,1461
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",48,1735,0,1783
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",31,614,0,645
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",26,214,636,876
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",14,64,498,576
"TBP53 - Tough Math","2016-04-17 16:24:01",14,94,924,1032
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",10,51,486,547
"TBP51 - Such Wow","2016-04-10 17:09:46",9,47,468,524
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",8,31,643,682
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",12,40,413,718
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",8,44,77,589
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",11,29,34,473
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",12,37,40,726
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",9,32,53,571
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",10,40,25,521
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",7,28,41,575
"TBP42 - True Micropayments","2016-02-21 23:13:15",5,24,17,708
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",4,25,18,507
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",11,35,16,1139
"TBP39 - Running the Gamut","2016-02-07 20:14:46",5,19,7,788
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",6,17,10,554
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",4,16,12,524
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",3,14,6,495
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",7,22,18,975
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",5,17,12,734
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",16,25,7,623
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",13,23,7,683
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",8,13,21,435
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",4,10,3,441
"TBP29 - Take the Power Back","2015-12-06 16:35:49",10,15,34,546
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",5,31,5,522
"TBP27 - London Calling","2015-11-22 16:30:21",5,11,3,522
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",5,17,2,475
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",4,12,6,408
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",7,19,11,577
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",5,11,5,343
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",10,17,3,286
"TBP21 - Call For Papers","2015-10-10 13:06:37",12,11,3,328
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",9,21,11,331
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",8,17,2,373
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",7,9,3,352
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",7,10,2,458
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",10,13,6,384
"TBP15 - Ants Marching","2015-08-30 19:31:14",9,12,5,348
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",5,12,6,489
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",7,10,4,401
"TBP12 - Boring Economics","2015-08-08 00:53:49",11,13,7,561
"TBP11 - The End of Money","2015-08-03 04:12:02",6,20,6,501
"TBP10 - Bottoms Up","2015-07-24 13:32:59",11,10,6,414
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",5,13,7,455
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",6,12,6,528
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",14,11,5,442
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",6,13,5,398
"TBP05 - The World's Strongest","2015-06-28 22:55:15",6,25,14,465
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",6,26,32,544
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",5,30,19,518
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",9,38,20,579
"Episode #1 - Introduction","2015-06-01 00:34:44",54,59,55,908
