"region","total_downloads"
", United States",3201
"Armed Forces Europe, Middle East, & Canada, United States",8
"Alaska, United States",119
"Alabama, United States",171
"Armed Forces Pacific, United States",2
"Arkansas, United States",87
"Arizona, United States",668
"California, United States",10687
"Colorado, United States",1327
"Connecticut, United States",458
"District of Columbia, United States",663
"Delaware, United States",244
"Florida, United States",2011
"Georgia, United States",1031
"Hawaii, United States",167
"Iowa, United States",282
"Idaho, United States",74
"Illinois, United States",1927
"Indiana, United States",350
"Kansas, United States",651
"Kentucky, United States",321
"Louisiana, United States",287
"Massachusetts, United States",782
"Maryland, United States",1056
"Maine, United States",53
"Michigan, United States",674
"Minnesota, United States",498
"Missouri, United States",585
"Mississippi, United States",62
"Montana, United States",317
"North Carolina, United States",821
"North Dakota, United States",37
"Nebraska, United States",120
"New Hampshire, United States",159
"New Jersey, United States",1431
"New Mexico, United States",180
"Nevada, United States",510
"New York, United States",2739
"Ohio, United States",992
"Oklahoma, United States",260
"Oregon, United States",871
"Pennsylvania, United States",1236
"Rhode Island, United States",74
"South Carolina, United States",199
"South Dakota, United States",153
"Tennessee, United States",310
"Texas, United States",5974
"Utah, United States",334
"Virginia, United States",1640
"Vermont, United States",66
"Washington, United States",1780
"Wisconsin, United States",600
"West Virginia, United States",71
"Wyoming, United States",23
