"market","total_downloads"
"Portland / Auburn",236
"New York",13222
"Binghamton",100
"Macon",63
"Philadelphia",4127
"Detroit",1515
"Boston MA / Manchester",2938
"Savannah",155
"Pittsburgh",1001
"Ft. Wayne",44
"Cleveland / Akron (Canton)",687
"Washington DC (Hagerstown)",15282
"Baltimore",1494
"Flint / Saginaw / Bay City",101
"Buffalo",403
"Cincinnati",699
"Erie",1
"Charlotte",1222
"Greensboro / High Point / Winston Salem",385
"Charleston",51
"Augusta",43
"Providence RI / New Bedford",323
"Columbus",42
"Burlington VT / Plattsburgh",185
"Atlanta",2971
"Albany",48
"Utica",79
"Indianapolis",561
"Miami / Ft. Lauderdale",1898
"Louisville",436
"Tallahassee FL / Thomasville",36
"Tri-Cities TN",23
"Albany / Schenectady / Troy",350
"Hartford & New Haven",1391
"Orlando / Daytona Beach / Melbourne",997
"Columbus",340
"Youngstown",466
"Bangor",64
"Rochester",261
"Tampa / St. Petersburg (Sarasota)",974
"Traverse City / Cadillac",37
"Lexington",184
"Dayton",251
"Springfield / Holyoke",229
"Norfolk / Portsmouth / Newport News",239
"Greenville / New Bern / Washington",24
"Columbia",218
"Toledo",215
"West Palm Beach / Ft. Pierce",762
"Watertown",54
"Wilmington",258
"Lansing",156
"Presque Isle",4
"Marquette",44
"Wheeling WV / Steubenville",1
"Syracuse",184
"Richmond / Petersburg",435
"Knoxville",189
"Bluefield / Beckley / Oak Hill",2
"Raleigh / Durham (Fayetteville)",2996
"Jacksonville",706
"Grand Rapids / Kalamazoo / Battle Creek",246
"Charleston / Huntington",26
"Elmira",8
"Harrisburg / Lancaster / Lebanon / York",446
"Greenville / Spartanburg SC / Asheville NC / Anderson",437
"Harrisonburg",35
"Florence / Myrtle Beach",107
"Ft. Myers / Naples",383
"Roanoke / Lynchburg",172
"Johnstown / Altoona",349
"Chattanooga",117
"Salisbury",1014
"Wilkes Barre / Scranton",110
"Terre Haute",17
"Lafayette",20
"Charlottesville",47
"South Bend / Elkhart",121
"Gainesville",30
"Zanesville",2
"Parkersburg",1
"Clarksburg / Weston",49
"Corpus Christi",50
"Chicago",4991
"Joplin MO / Pittsburg",4
"Columbia / Jefferson City",32
"Topeka",90
"Dothan",20
"St. Louis",800
"Rockford",110
"Rochester MN / Mason City IA / Austin",10
"Shreveport",121
"Minneapolis / St. Paul",1638
"Kansas City",1218
"Milwaukee",468
"Houston",2439
"Springfield",250
"New Orleans",595
"Dallas / Ft. Worth",4271
"Sioux City",19
"Waco / Temple / Bryan",2493
"Victoria",2
"Wichita Falls TX & Lawton",4
"Monroe LA / El Dorado",1
"Birmingham",448
"Ottumwa IA / Kirksville",2
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",121
"Odessa / Midland",158
"Amarillo",40
"Austin",2427
"Harlingen / Weslaco / Brownsville / McAllen",12
"Cedar Rapids / Waterloo / Iowa City & Dubuque",480
"St. Joseph",16
"Jackson",74
"Memphis",409
"San Antonio",493
"Lafayette",29
"Alexandria",20
"Champaign & Springfield / Decatur",99
"Evansville",27
"Oklahoma City",491
"Lubbock",281
"Omaha",328
"Panama City",8
"Sherman TX / Ada",9
"Green Bay / Appleton",108
"Nashville",1050
"San Angelo",170
"Abilene / Sweetwater",22
"Madison",944
"Ft. Smith / Fayetteville / Springdale / Rogers",66
"Tulsa",103
"Columbus / Tupelo / West Point",14
"Peoria / Bloomington",118
"Duluth MN / Superior",22
"Wichita / Hutchinson",139
"Des Moines / Ames",178
"Davenport IA / Rock Island / Moline",87
"Mobile AL / Pensacola (Ft. Walton Beach)",201
"Minot / Bismarck / Dickinson(Williston)",59
"Huntsville / Decatur (Florence)",224
"Beaumont / Port Arthur",24
"Little Rock / Pine Bluff",236
"Montgomery (Selma)",76
"La Crosse / Eau Claire",124
"Wausau / Rhinelander",39
"Tyler / Longview(Lufkin & Nacogdoches)",112
"Hattiesburg / Laurel",32
"Baton Rouge",197
"Quincy IL / Hannibal MO / Keokuk",1
"Jackson",171
"Lincoln & Hastings / Kearney",195
"Fargo / Valley City",30
"Sioux Falls(Mitchell)",250
"Bowling Green",44
"Mankato",11
"North Platte",2
"Anchorage",110
"Honolulu",596
"Fairbanks",1
"Biloxi / Gulfport",23
"Juneau",50
"Laredo",9
"Denver",3987
"Colorado Springs / Pueblo",131
"Phoenix",1736
"Butte / Bozeman",142
"Great Falls",72
"Billings",232
"Boise",202
"Idaho Falls / Pocatello",61
"Cheyenne WY / Scottsbluff",31
"Twin Falls",45
"Missoula",116
"Rapid City",5
"El Paso",29
"Helena",1
"Casper / Riverton",1
"Salt Lake City",1348
"Yuma AZ / El Centro",2
"Grand Junction / Montrose",41
"Tucson (Sierra Vista)",156
"Albuquerque / Santa Fe",326
"Bakersfield",183
"Eugene",264
"Eureka",12
"Los Angeles",11774
"Palm Springs",155
"San Francisco / Oakland / San Jose",15887
"Yakima / Pasco / Richland / Kennewick",695
"Reno",138
"Medford / Klamath Falls",37
"Seattle / Tacoma",4954
"Portland",1956
"Bend",256
"San Diego",2010
"Monterey / Salinas",907
"Las Vegas",1558
"Santa Barbara / Santa Maria / San Luis Obispo",310
"Sacramento / Stockton / Modesto",1679
"Fresno / Visalia",95
"Chico / Redding",31
"Spokane",336
