"region","requests"
"Alaska","30"
"Alabama","79"
"Arkansas","32"
"Arizona","406"
"California","4148"
"Colorado","407"
"Connecticut","189"
"District of Columbia","162"
"Delaware","24"
"Florida","949"
"Georgia","458"
"Hawaii","204"
"Iowa","32"
"Idaho","80"
"Illinois","934"
"Indiana","107"
"Kansas","86"
"Kentucky","112"
"Louisiana","61"
"Massachusetts","585"
"Maryland","179"
"Maine","22"
"Michigan","278"
"Minnesota","256"
"Missouri","129"
"Mississippi","75"
"Montana","36"
"North Carolina","430"
"North Dakota","11"
"Nebraska","57"
"New Hampshire","68"
"New Jersey","668"
"New Mexico","65"
"Armed Forces Europe Middle East & Canada","67"
"Nevada","226"
"New York","1782"
"Ohio","336"
"Oklahoma","117"
"Oregon","283"
"Pennsylvania","620"
"Rhode Island","60"
"South Carolina","57"
"South Dakota","14"
"Tennessee","229"
"Texas","1928"
"Utah","111"
"Virginia","360"
"Vermont","14"
"Washington","734"
"Wisconsin","153"
"West Virginia","6"
"Wyoming","14"
