"item_title","release_date","downloads__april","downloads__march","downloads__february","downloads__total"
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",867,0,0,867
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",1433,0,0,1433
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",1219,0,0,1219
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",2072,0,0,2072
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",1662,0,0,1662
"TBP120 - The Token Protocol","2017-03-25 20:31:45",489,1994,0,2483
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",169,1751,0,1920
"TBP119 - Shorting the Bull Rally II","2017-03-20 00:28:59",146,1439,0,1585
"BlockChannel Episode 14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir","2017-03-18 19:23:52",122,1360,0,1482
"TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto","2017-03-12 00:58:57",118,2096,0,2214
"Episode #7: On-Ramping with Dee","2017-03-10 15:53:59",74,1149,0,1223
"BlockChannel Episode 13: Decentralized Web Browsing, with Blockstack","2017-03-07 02:41:19",89,1440,0,1529
"TBP117 - Venturing Into the Web3","2017-03-05 03:04:22",119,1599,0,1718
"TBP116 - Building the Iron Man Suit","2017-02-26 17:50:26",91,1000,990,2081
"BlockChannel Episode 12: In Ethereum, WeTrust","2017-02-22 00:20:08",59,694,1236,1989
"Episode #6: On-Ramping with Dee","2017-02-20 17:00:38",36,364,1020,1420
"BlockChannel Episode 11: Bridging Ethereum and Media with Jaak.io","2017-02-20 01:45:27",39,256,778,1073
"TBP115 - This Week in Ethereum","2017-02-18 20:58:23",56,354,1268,1678
"BlockChannel Episode 10: A Bitcoin Venture Outside the Great Wall","2017-02-17 15:25:32",38,184,961,1183
"TBP114 - Life After Trezor","2017-02-12 06:32:10",88,303,1889,2280
"BlockChannel Episode 9: Getting Gamers on Ethereum with FirstBlood","2017-02-08 03:17:23",60,195,1200,1455
"TBP113 - Innovators' Lab","2017-02-05 06:01:34",66,249,1584,1899
"Episode #5: On-Ramping with Dee","2017-02-03 22:54:38",59,329,1243,1631
"BlockChannel Episode 8: Hit or Stay, a Bet on 21.co","2017-02-02 16:14:25",48,309,1032,1389
"BlockChannel Episode 7: Meet Your Maker, Ethereum","2017-02-02 03:17:22",28,159,1218,1405
"TBP112 - The Broader Economy II","2017-01-28 22:29:43",103,261,1025,2894
"BlockChannel Episode 6: Gnosis, and the Power of the Crowd","2017-01-26 13:57:43",11,125,260,1349
