"country_name","total_downloads"
"",276
"Anonymous Proxy",1033
"United Arab Emirates",105
"Antigua and Barbuda",3
"Asia/Pacific Region",1
"Argentina",103
"Austria",147
"Australia",1030
"Azerbaijan",53
"Bosnia and Herzegovina",8
"Barbados",64
"Bangladesh",1
"Belgium",85
"Bulgaria",56
"Bahrain",10
"Bolivia",2
"Bonaire, Saint Eustatius and Saba",1
"Brazil",459
"Bhutan",1
"Belarus",2
"Canada",1265
"Switzerland",281
"Chile",100
"China",616
"Colombia",45
"Costa Rica",71
"Cuba",2
"Cyprus",1
"Czech Republic",53
"Germany",967
"Denmark",70
"Dominican Republic",21
"Algeria",6
"Ecuador",1
"Estonia",60
"Egypt",2
"Spain",317
"Europe",1
"Finland",145
"France",313
"United Kingdom",2164
"Georgia",15
"Guernsey",2
"Gibraltar",6
"Greece",39
"Guatemala",7
"Guam",4
"Hong Kong",58
"Croatia",25
"Hungary",5
"Indonesia",36
"Ireland",157
"Israel",91
"Isle of Man",14
"India",579
"Iceland",12
"Italy",201
"Jamaica",2
"Japan",347
"Kenya",81
"Kyrgyzstan",12
"Cambodia",9
"Korea, Republic of",93
"Kuwait",1
"Kazakhstan",11
"Lao People's Democratic Republic",1
"Liechtenstein",1
"Liberia",2
"Lithuania",16
"Luxembourg",12
"Latvia",57
"Morocco",10
"Monaco",33
"Moldova, Republic of",3
"Macedonia",2
"Myanmar",1
"Macau",2
"Martinique",1
"Malta",2
"Mauritius",2
"Mexico",173
"Malaysia",34
"Nigeria",122
"Nicaragua",32
"Netherlands",417
"Norway",234
"New Zealand",130
"Oman",1
"Panama",2
"Peru",8
"Philippines",56
"Pakistan",8
"Poland",58
"Puerto Rico",27
"Portugal",29
"Qatar",2
"Reunion",1
"Romania",77
"Serbia",29
"Russian Federation",53
"Rwanda",1
"Saudi Arabia",28
"Seychelles",1
"Sweden",535
"Singapore",158
"Slovenia",96
"Slovakia",28
"Suriname",1
"El Salvador",5
"Sint Maarten (Dutch part)",1
"Thailand",72
"Tunisia",1
"Turkey",16
"Trinidad and Tobago",12
"Taiwan",27
"Tanzania, United Republic of",165
"Ukraine",10
"United States",17936
"Venezuela",12
"Virgin Islands, British",3
"Vietnam",39
"South Africa",142
"Zimbabwe",2
