"market","total_downloads"
"Portland / Auburn",181
"New York",11050
"Binghamton",100
"Macon",58
"Philadelphia",3652
"Detroit",1329
"Boston MA / Manchester",2511
"Savannah",148
"Pittsburgh",849
"Ft. Wayne",43
"Cleveland / Akron (Canton)",621
"Washington DC (Hagerstown)",14465
"Baltimore",1348
"Flint / Saginaw / Bay City",91
"Buffalo",375
"Cincinnati",673
"Erie",1
"Charlotte",1105
"Greensboro / High Point / Winston Salem",367
"Charleston",44
"Augusta",23
"Providence RI / New Bedford",270
"Columbus",39
"Burlington VT / Plattsburgh",158
"Atlanta",2629
"Albany",47
"Utica",62
"Indianapolis",516
"Miami / Ft. Lauderdale",1659
"Louisville",390
"Tallahassee FL / Thomasville",27
"Tri-Cities TN",16
"Albany / Schenectady / Troy",309
"Hartford & New Haven",1213
"Orlando / Daytona Beach / Melbourne",821
"Columbus",288
"Youngstown",455
"Bangor",59
"Rochester",226
"Tampa / St. Petersburg (Sarasota)",816
"Traverse City / Cadillac",35
"Lexington",171
"Dayton",247
"Springfield / Holyoke",198
"Norfolk / Portsmouth / Newport News",192
"Greenville / New Bern / Washington",21
"Columbia",207
"Toledo",164
"West Palm Beach / Ft. Pierce",673
"Watertown",45
"Wilmington",223
"Lansing",140
"Presque Isle",4
"Marquette",42
"Wheeling WV / Steubenville",1
"Syracuse",174
"Richmond / Petersburg",413
"Knoxville",139
"Raleigh / Durham (Fayetteville)",2596
"Jacksonville",632
"Grand Rapids / Kalamazoo / Battle Creek",232
"Charleston / Huntington",24
"Elmira",8
"Harrisburg / Lancaster / Lebanon / York",397
"Greenville / Spartanburg SC / Asheville NC / Anderson",380
"Harrisonburg",35
"Florence / Myrtle Beach",102
"Ft. Myers / Naples",317
"Roanoke / Lynchburg",136
"Johnstown / Altoona",328
"Chattanooga",95
"Salisbury",992
"Wilkes Barre / Scranton",110
"Terre Haute",17
"Lafayette",20
"Charlottesville",46
"South Bend / Elkhart",117
"Gainesville",21
"Zanesville",2
"Parkersburg",1
"Clarksburg / Weston",48
"Corpus Christi",50
"Chicago",4479
"Joplin MO / Pittsburg",4
"Columbia / Jefferson City",27
"Topeka",78
"Dothan",14
"St. Louis",712
"Rockford",108
"Rochester MN / Mason City IA / Austin",10
"Shreveport",108
"Minneapolis / St. Paul",1439
"Kansas City",1149
"Milwaukee",386
"Houston",2083
"Springfield",188
"New Orleans",540
"Dallas / Ft. Worth",3564
"Sioux City",19
"Waco / Temple / Bryan",2459
"Victoria",2
"Wichita Falls TX & Lawton",4
"Birmingham",410
"Ottumwa IA / Kirksville",2
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",113
"Odessa / Midland",144
"Amarillo",32
"Austin",2244
"Harlingen / Weslaco / Brownsville / McAllen",12
"Cedar Rapids / Waterloo / Iowa City & Dubuque",455
"St. Joseph",12
"Jackson",69
"Memphis",371
"San Antonio",441
"Lafayette",29
"Alexandria",20
"Champaign & Springfield / Decatur",95
"Evansville",26
"Oklahoma City",466
"Lubbock",259
"Omaha",259
"Panama City",8
"Sherman TX / Ada",9
"Green Bay / Appleton",91
"Nashville",884
"San Angelo",159
"Abilene / Sweetwater",22
"Madison",884
"Ft. Smith / Fayetteville / Springdale / Rogers",52
"Tulsa",103
"Columbus / Tupelo / West Point",7
"Peoria / Bloomington",115
"Duluth MN / Superior",21
"Wichita / Hutchinson",131
"Des Moines / Ames",137
"Davenport IA / Rock Island / Moline",75
"Mobile AL / Pensacola (Ft. Walton Beach)",177
"Minot / Bismarck / Dickinson(Williston)",37
"Huntsville / Decatur (Florence)",193
"Beaumont / Port Arthur",19
"Little Rock / Pine Bluff",222
"Montgomery (Selma)",62
"La Crosse / Eau Claire",111
"Wausau / Rhinelander",39
"Tyler / Longview(Lufkin & Nacogdoches)",39
"Hattiesburg / Laurel",16
"Baton Rouge",149
"Quincy IL / Hannibal MO / Keokuk",1
"Jackson",139
"Lincoln & Hastings / Kearney",167
"Fargo / Valley City",30
"Sioux Falls(Mitchell)",248
"Bowling Green",44
"Mankato",11
"North Platte",2
"Anchorage",98
"Honolulu",526
"Fairbanks",1
"Biloxi / Gulfport",13
"Juneau",43
"Laredo",9
"Denver",3640
"Colorado Springs / Pueblo",104
"Phoenix",1551
"Butte / Bozeman",137
"Great Falls",72
"Billings",232
"Boise",181
"Idaho Falls / Pocatello",19
"Cheyenne WY / Scottsbluff",30
"Twin Falls",45
"Missoula",116
"Rapid City",5
"El Paso",28
"Helena",1
"Casper / Riverton",1
"Salt Lake City",1228
"Grand Junction / Montrose",27
"Tucson (Sierra Vista)",48
"Albuquerque / Santa Fe",268
"Bakersfield",178
"Eugene",205
"Eureka",10
"Los Angeles",10131
"Palm Springs",109
"San Francisco / Oakland / San Jose",13971
"Yakima / Pasco / Richland / Kennewick",665
"Reno",120
"Medford / Klamath Falls",32
"Seattle / Tacoma",4477
"Portland",1772
"Bend",247
"San Diego",1706
"Monterey / Salinas",872
"Las Vegas",1337
"Santa Barbara / Santa Maria / San Luis Obispo",268
"Sacramento / Stockton / Modesto",1421
"Fresno / Visalia",81
"Chico / Redding",18
"Spokane",298
