"market","total_downloads"
"Portland / Auburn",31
"New York",6229
"Binghamton",84
"Macon",38
"Philadelphia",2215
"Detroit",832
"Boston MA / Manchester",1556
"Savannah",71
"Pittsburgh",462
"Ft. Wayne",28
"Cleveland / Akron (Canton)",335
"Washington DC (Hagerstown)",7742
"Baltimore",783
"Flint / Saginaw / Bay City",37
"Buffalo",175
"Cincinnati",231
"Charlotte",509
"Greensboro / High Point / Winston Salem",283
"Charleston",17
"Augusta",7
"Providence RI / New Bedford",168
"Columbus",22
"Burlington VT / Plattsburgh",117
"Atlanta",1689
"Albany",9
"Utica",32
"Indianapolis",364
"Miami / Ft. Lauderdale",1099
"Louisville",266
"Tallahassee FL / Thomasville",13
"Tri-Cities TN",13
"Albany / Schenectady / Troy",223
"Hartford & New Haven",657
"Orlando / Daytona Beach / Melbourne",509
"Columbus",167
"Youngstown",451
"Bangor",59
"Rochester",132
"Tampa / St. Petersburg (Sarasota)",539
"Traverse City / Cadillac",10
"Lexington",100
"Dayton",150
"Springfield / Holyoke",110
"Norfolk / Portsmouth / Newport News",129
"Greenville / New Bern / Washington",9
"Columbia",151
"Toledo",88
"West Palm Beach / Ft. Pierce",498
"Watertown",7
"Wilmington",34
"Lansing",93
"Presque Isle",4
"Marquette",38
"Syracuse",125
"Richmond / Petersburg",261
"Knoxville",96
"Raleigh / Durham (Fayetteville)",610
"Jacksonville",376
"Grand Rapids / Kalamazoo / Battle Creek",102
"Charleston / Huntington",22
"Elmira",5
"Harrisburg / Lancaster / Lebanon / York",132
"Greenville / Spartanburg SC / Asheville NC / Anderson",200
"Harrisonburg",24
"Florence / Myrtle Beach",76
"Ft. Myers / Naples",165
"Roanoke / Lynchburg",85
"Johnstown / Altoona",287
"Chattanooga",22
"Salisbury",947
"Wilkes Barre / Scranton",98
"Terre Haute",11
"Lafayette",2
"Charlottesville",35
"South Bend / Elkhart",74
"Gainesville",9
"Zanesville",1
"Parkersburg",1
"Clarksburg / Weston",45
"Corpus Christi",37
"Chicago",2876
"Joplin MO / Pittsburg",2
"Columbia / Jefferson City",16
"Topeka",35
"St. Louis",404
"Rockford",85
"Rochester MN / Mason City IA / Austin",9
"Shreveport",37
"Minneapolis / St. Paul",806
"Kansas City",1036
"Milwaukee",251
"Houston",1085
"Springfield",76
"New Orleans",290
"Dallas / Ft. Worth",1993
"Sioux City",17
"Waco / Temple / Bryan",2321
"Victoria",2
"Wichita Falls TX & Lawton",2
"Birmingham",214
"Ottumwa IA / Kirksville",2
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",96
"Odessa / Midland",63
"Amarillo",7
"Austin",1793
"Harlingen / Weslaco / Brownsville / McAllen",4
"Cedar Rapids / Waterloo / Iowa City & Dubuque",311
"St. Joseph",9
"Jackson",32
"Memphis",210
"San Antonio",336
"Lafayette",17
"Alexandria",9
"Champaign & Springfield / Decatur",55
"Evansville",18
"Oklahoma City",374
"Lubbock",177
"Omaha",161
"Panama City",4
"Sherman TX / Ada",6
"Green Bay / Appleton",62
"Nashville",353
"San Angelo",128
"Abilene / Sweetwater",19
"Madison",648
"Ft. Smith / Fayetteville / Springdale / Rogers",28
"Tulsa",75
"Columbus / Tupelo / West Point",4
"Peoria / Bloomington",109
"Duluth MN / Superior",16
"Wichita / Hutchinson",86
"Des Moines / Ames",76
"Davenport IA / Rock Island / Moline",63
"Mobile AL / Pensacola (Ft. Walton Beach)",88
"Minot / Bismarck / Dickinson(Williston)",35
"Huntsville / Decatur (Florence)",56
"Beaumont / Port Arthur",5
"Little Rock / Pine Bluff",133
"Montgomery (Selma)",24
"La Crosse / Eau Claire",38
"Wausau / Rhinelander",27
"Tyler / Longview(Lufkin & Nacogdoches)",27
"Hattiesburg / Laurel",8
"Baton Rouge",37
"Quincy IL / Hannibal MO / Keokuk",1
"Jackson",85
"Lincoln & Hastings / Kearney",77
"Fargo / Valley City",6
"Sioux Falls(Mitchell)",203
"Bowling Green",44
"Mankato",3
"North Platte",2
"Anchorage",88
"Honolulu",307
"Fairbanks",1
"Biloxi / Gulfport",9
"Juneau",32
"Laredo",8
"Denver",2441
"Colorado Springs / Pueblo",47
"Phoenix",1049
"Butte / Bozeman",114
"Great Falls",26
"Billings",201
"Boise",91
"Idaho Falls / Pocatello",8
"Cheyenne WY / Scottsbluff",20
"Twin Falls",10
"Missoula",112
"Rapid City",5
"El Paso",28
"Helena",1
"Salt Lake City",739
"Grand Junction / Montrose",7
"Tucson (Sierra Vista)",34
"Albuquerque / Santa Fe",175
"Bakersfield",140
"Eugene",143
"Eureka",5
"Los Angeles",6082
"Palm Springs",28
"San Francisco / Oakland / San Jose",8373
"Yakima / Pasco / Richland / Kennewick",517
"Reno",44
"Medford / Klamath Falls",13
"Seattle / Tacoma",2999
"Portland",832
"Bend",211
"San Diego",830
"Monterey / Salinas",594
"Las Vegas",738
"Santa Barbara / Santa Maria / San Luis Obispo",60
"Sacramento / Stockton / Modesto",869
"Fresno / Visalia",21
"Chico / Redding",15
"Spokane",163
