"date","total_downloads"
"2016-06-23",856
"2016-06-22",206
"2016-06-21",342
"2016-06-20",558
"2016-06-19",123
"2016-06-18",130
"2016-06-17",127
"2016-06-16",146
"2016-06-15",160
"2016-06-14",293
