"item_title","release_date","downloads__august","downloads__july","downloads__june","downloads__total"
"BlockChannel Episode 28: Securing the Metaverse, with Decentraland","2017-08-17 15:14:51",2401,0,0,2401
"BlockChannel Episode 27: Po.et and We Didn't Even Know It","2017-08-17 15:02:37",3001,0,0,3001
"TBP147 - History of Security","2017-08-16 21:33:46",3093,0,0,3093
"Ether Review #71 — David Bailey on Po.et & the MtGox/BTC-e Connection","2017-08-16 00:15:48",3079,0,0,3079
"TBP146 - The Rise and Rise of Charlie Shrem","2017-08-13 03:37:50",6700,0,0,6700
"TBP145 - Hopes and Fears for Filecoin","2017-08-09 02:30:34",5499,0,0,5499
"NABP #8: Vortex","2017-08-07 21:45:42",3595,0,0,3595
"Episode #12: On-Ramping with Dee","2017-08-06 14:26:49",3369,0,0,3369
"TBP144 - Tomorrow's Electricity Today","2017-08-06 13:54:37",3613,0,0,3613
"Ether Review Legal #4 — MME, the Beating Heart of Crypto Valley","2017-08-04 15:58:25",3144,0,0,3144
"TBP143 - Damned If You Do, Bored If You Don't","2017-08-04 04:37:32",4674,0,0,4674
"NABP #7: Marcello","2017-08-01 02:15:49",4237,0,0,4237
"TBP142 - The Need For More Information","2017-07-29 19:29:38",1498,2640,0,4138
"TBP141 - The CMO Primer For the Blockchain World","2017-07-27 23:37:26",752,3023,0,3775
"BlockChannel Episode 26: Off the Grid, with Grid+","2017-07-25 16:04:02",862,2496,0,3358
"Ether Review Legal #3 — The Simple Agreement for Future Tokens","2017-07-25 15:45:03",488,2734,0,3222
"TBP140 - 5G vs 4G and the Future of Mobile Networks","2017-07-23 02:06:48",432,3946,0,4378
"Ether Review #69 — IOTA & the Post-Blockchain Era","2017-07-19 15:22:30",522,4308,0,4830
"NABP #6: John Crothers","2017-07-19 03:43:01",302,2538,0,2840
"BlockChannel Episode 25: Building Digital Communities, with District0x","2017-07-16 13:44:35",263,2742,0,3005
"TBP139 - Surviving the BIP 148 UASF","2017-07-16 04:53:09",265,5261,0,5526
"TBP138 - The 21st Century 49ers","2017-07-16 04:35:43",388,3266,0,3654
"NABP #5: Ryan X Charles","2017-07-13 23:03:09",306,3618,0,3924
"The Ether Review #68 — Numerai, The Last Hedge Fund","2017-07-12 15:23:39",237,2902,0,3139
"NABP #4: Benjamin Perrin","2017-07-11 22:22:59",347,3911,0,4258
"TBP137 - Countdown to SegWit","2017-07-09 13:52:24",300,6835,0,7135
"NABP #3: Adam Meister","2017-07-06 12:49:09",191,3719,0,3910
"Episode #11: On-Ramping with Dee","2017-07-04 15:12:19",148,2913,0,3061
"TBP136 - A New Type of Ownership","2017-07-02 00:11:34",197,4370,0,4567
"NABP #2: Crypto Maak","2017-07-01 02:49:34",190,3271,0,3461
"Ether Review Legal Discussion #2 The Legality of Raising Money Using Tokens","2017-06-27 20:13:45",147,1137,2846,4130
"TBP135 - Yanking Our Blockchain","2017-06-24 19:40:04",151,732,4374,5257
