"market","total_downloads"
"Portland / Auburn",342
"New York",21075
"Binghamton",114
"Macon",68
"Philadelphia",5912
"Detroit",2070
"Boston MA / Manchester",4458
"Savannah",249
"Pittsburgh",1517
"Ft. Wayne",46
"Cleveland / Akron (Canton)",1005
"Washington DC (Hagerstown)",18880
"Baltimore",2363
"Flint / Saginaw / Bay City",189
"Buffalo",551
"Cincinnati",769
"Erie",5
"Charlotte",2070
"Greensboro / High Point / Winston Salem",584
"Charleston",80
"Augusta",59
"Providence RI / New Bedford",567
"Columbus",103
"Burlington VT / Plattsburgh",437
"Atlanta",4449
"Albany",81
"Utica",101
"Indianapolis",914
"Miami / Ft. Lauderdale",3982
"Louisville",646
"Tallahassee FL / Thomasville",75
"Tri-Cities TN",87
"Albany / Schenectady / Troy",443
"Hartford & New Haven",1944
"Orlando / Daytona Beach / Melbourne",1629
"Columbus",752
"Youngstown",510
"Bangor",70
"Rochester",428
"Tampa / St. Petersburg (Sarasota)",2265
"Traverse City / Cadillac",81
"Lexington",225
"Dayton",277
"Springfield / Holyoke",329
"Norfolk / Portsmouth / Newport News",491
"Greenville / New Bern / Washington",42
"Columbia",341
"Toledo",348
"West Palm Beach / Ft. Pierce",1037
"Watertown",83
"Wilmington",300
"Lansing",196
"Presque Isle",4
"Marquette",44
"Wheeling WV / Steubenville",8
"Syracuse",311
"Richmond / Petersburg",636
"Knoxville",335
"Lima",2
"Bluefield / Beckley / Oak Hill",25
"Raleigh / Durham (Fayetteville)",3976
"Jacksonville",908
"Grand Rapids / Kalamazoo / Battle Creek",443
"Charleston / Huntington",31
"Elmira",8
"Harrisburg / Lancaster / Lebanon / York",566
"Greenville / Spartanburg SC / Asheville NC / Anderson",635
"Harrisonburg",43
"Florence / Myrtle Beach",138
"Ft. Myers / Naples",445
"Roanoke / Lynchburg",257
"Johnstown / Altoona",405
"Chattanooga",222
"Salisbury",1203
"Wilkes Barre / Scranton",231
"Terre Haute",20
"Lafayette",22
"Charlottesville",80
"South Bend / Elkhart",183
"Gainesville",69
"Zanesville",2
"Parkersburg",11
"Clarksburg / Weston",51
"Corpus Christi",53
"Chicago",6968
"Joplin MO / Pittsburg",14
"Columbia / Jefferson City",54
"Topeka",107
"Dothan",20
"St. Louis",1288
"Rockford",121
"Rochester MN / Mason City IA / Austin",119
"Shreveport",207
"Minneapolis / St. Paul",2720
"Kansas City",1404
"Milwaukee",812
"Houston",3600
"Springfield",289
"New Orleans",916
"Dallas / Ft. Worth",6500
"Sioux City",19
"Waco / Temple / Bryan",3010
"Victoria",2
"Wichita Falls TX & Lawton",8
"Monroe LA / El Dorado",26
"Birmingham",582
"Ottumwa IA / Kirksville",2
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",192
"Odessa / Midland",191
"Amarillo",81
"Austin",4050
"Harlingen / Weslaco / Brownsville / McAllen",16
"Cedar Rapids / Waterloo / Iowa City & Dubuque",736
"St. Joseph",17
"Jackson",83
"Memphis",539
"San Antonio",614
"Lafayette",31
"Lake Charles",2
"Alexandria",20
"Champaign & Springfield / Decatur",151
"Evansville",35
"Oklahoma City",622
"Lubbock",355
"Omaha",592
"Panama City",26
"Sherman TX / Ada",9
"Green Bay / Appleton",185
"Nashville",1523
"San Angelo",199
"Abilene / Sweetwater",22
"Madison",1367
"Ft. Smith / Fayetteville / Springdale / Rogers",145
"Tulsa",113
"Columbus / Tupelo / West Point",16
"Peoria / Bloomington",131
"Duluth MN / Superior",45
"Wichita / Hutchinson",172
"Des Moines / Ames",304
"Davenport IA / Rock Island / Moline",113
"Mobile AL / Pensacola (Ft. Walton Beach)",392
"Minot / Bismarck / Dickinson(Williston)",120
"Huntsville / Decatur (Florence)",285
"Beaumont / Port Arthur",25
"Little Rock / Pine Bluff",341
"Montgomery (Selma)",145
"La Crosse / Eau Claire",201
"Wausau / Rhinelander",41
"Tyler / Longview(Lufkin & Nacogdoches)",201
"Hattiesburg / Laurel",76
"Baton Rouge",294
"Quincy IL / Hannibal MO / Keokuk",3
"Jackson",246
"Lincoln & Hastings / Kearney",280
"Fargo / Valley City",38
"Sioux Falls(Mitchell)",257
"Jonesboro",15
"Bowling Green",48
"Mankato",14
"North Platte",2
"Anchorage",225
"Honolulu",875
"Fairbanks",9
"Biloxi / Gulfport",368
"Juneau",74
"Laredo",9
"Denver",5294
"Colorado Springs / Pueblo",250
"Phoenix",2517
"Butte / Bozeman",187
"Great Falls",72
"Billings",240
"Boise",240
"Idaho Falls / Pocatello",72
"Cheyenne WY / Scottsbluff",48
"Twin Falls",47
"Missoula",126
"Rapid City",5
"El Paso",47
"Helena",1
"Casper / Riverton",5
"Salt Lake City",2316
"Yuma AZ / El Centro",3
"Grand Junction / Montrose",56
"Tucson (Sierra Vista)",203
"Albuquerque / Santa Fe",480
"Bakersfield",239
"Eugene",366
"Eureka",19
"Los Angeles",17429
"Palm Springs",187
"San Francisco / Oakland / San Jose",22495
"Yakima / Pasco / Richland / Kennewick",768
"Reno",197
"Medford / Klamath Falls",97
"Seattle / Tacoma",7332
"Portland",2701
"Bend",322
"San Diego",3195
"Monterey / Salinas",1476
"Las Vegas",2300
"Santa Barbara / Santa Maria / San Luis Obispo",557
"Sacramento / Stockton / Modesto",2467
"Fresno / Visalia",114
"Chico / Redding",66
"Spokane",527
