"region","total_downloads"
", United States",9358
"Armed Forces Europe, Middle East, & Canada, United States",143
"Alaska, United States",597
"Alabama, United States",2159
"Armed Forces Pacific, United States",49
"Arkansas, United States",982
"Arizona, United States",4672
"California, United States",78694
"Colorado, United States",8358
"Connecticut, United States",3960
"District of Columbia, United States",3303
"Delaware, United States",1947
"Florida, United States",16227
"Georgia, United States",8572
"Hawaii, United States",1507
"Iowa, United States",1832
"Idaho, United States",1136
"Illinois, United States",14112
"Indiana, United States",2427
"Kansas, United States",1839
"Kentucky, United States",1422
"Louisiana, United States",2339
"Massachusetts, United States",8114
"Maryland, United States",8381
"Maine, United States",463
"Michigan, United States",5165
"Minnesota, United States",4526
"Missouri, United States",3391
"Mississippi, United States",1108
"Montana, United States",719
"North Carolina, United States",11254
"North Dakota, United States",362
"Nebraska, United States",1238
"New Hampshire, United States",973
"New Jersey, United States",11499
"New Mexico, United States",832
"Nevada, United States",4217
"New York, United States",28151
"Ohio, United States",6537
"Oklahoma, United States",1411
"Oregon, United States",6093
"Pennsylvania, United States",9761
"Rhode Island, United States",1083
"South Carolina, United States",1882
"South Dakota, United States",311
"Tennessee, United States",4178
"Texas, United States",32211
"Utah, United States",3697
"Virginia, United States",18771
"Vermont, United States",570
"Washington, United States",12756
"Wisconsin, United States",3757
"West Virginia, United States",268
"Wyoming, United States",117
